date,action,company_name,symbol,source
1998-08-01,include,Kirloskar Industries Ltd.,,nse_incl_excl
1998-08-01,include,Kitply Industries Ltd.,,nse_incl_excl
1998-08-01,include,Kochi Refineries Ltd.,,nse_incl_excl
1998-08-01,include,Kodak India Ltd. - Delisted,,nse_incl_excl
1998-08-01,include,Kopran Ltd.,,nse_incl_excl
1998-08-01,include,Kotak Mahindra Bank Ltd.,,nse_incl_excl
1998-08-01,include,Krishna Filaments Ltd.,,nse_incl_excl
1998-08-01,include,Krishna Lifestyle Technologies Ltd.,,nse_incl_excl
1998-08-01,include,LIC Housing Finance Ltd.,,nse_incl_excl
1998-08-01,include,LML Ltd.,,nse_incl_excl
1998-08-01,include,Lakshmi Machine Works Ltd.,,nse_incl_excl
1998-08-01,include,Larsen & Toubro Ltd.-Sus,,nse_incl_excl
1998-08-01,include,Linde India Ltd.,,nse_incl_excl
1998-08-01,include,Lloyds Finance Ltd.,,nse_incl_excl
1998-08-01,include,Lloyds Metals & Engineers Ltd.,,nse_incl_excl
1998-08-01,include,Lok Housing & Constructions Ltd.,,nse_incl_excl
1998-08-01,include,Lumax Industries Ltd.,,nse_incl_excl
1998-08-01,include,Lupin Chemicals Ltd.  (Erstwhile),,nse_incl_excl
1998-08-01,include,Lupin Laboratories Ltd.  (Erstwhile),,nse_incl_excl
1998-08-01,include,MRF Ltd.,,nse_incl_excl
1998-08-01,include,Madura Coats Ltd.,,nse_incl_excl
1998-08-01,include,Mafatlal Industries Ltd.,,nse_incl_excl
1998-08-01,include,Mahanagar Telephone Nigam Ltd.,,nse_incl_excl
1998-08-01,include,Maharashtra Scooters Ltd.,,nse_incl_excl
1998-08-01,include,Maharashtra Seamless Ltd.,,nse_incl_excl
1998-08-01,include,Mahindra & Mahindra Ltd.,,nse_incl_excl
1998-08-01,include,Mahindra Ugine Steel Co. Ltd.,,nse_incl_excl
1998-08-01,include,Mangalam Cement Ltd.,,nse_incl_excl
1998-08-01,include,Maral Overseas Ltd.,,nse_incl_excl
1998-08-01,include,Mardia Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Marico Ltd.,,nse_incl_excl
1998-08-01,include,Mastek Ltd.,,nse_incl_excl
1998-08-01,include,Max India Ltd.,,nse_incl_excl
1998-08-01,include,McDowell & Co. Ltd. (Old),,nse_incl_excl
1998-08-01,include,Merck Ltd.,,nse_incl_excl
1998-08-01,include,Merind Ltd.-Merged,,nse_incl_excl
1998-08-01,include,Micro Inks Ltd.,,nse_incl_excl
1998-08-01,include,Mirc Electronics Ltd.,,nse_incl_excl
1998-08-01,include,Modern Denim Ltd.,,nse_incl_excl
1998-08-01,include,Modern Syntex (India) Ltd.,,nse_incl_excl
1998-08-01,include,Modern Terry Towels Ltd.,,nse_incl_excl
1998-08-01,include,Modern Threads (India) Ltd.,,nse_incl_excl
1998-08-01,include,Modi Rubber Ltd.,,nse_incl_excl
1998-08-01,include,Modi Xerox Ltd.- Sus,,nse_incl_excl
1998-08-01,include,Modiluft Ltd.,,nse_incl_excl
1998-08-01,include,Morepen Laboratories Ltd.,,nse_incl_excl
1998-08-01,include,Mukand Ltd.- Old,,nse_incl_excl
1998-08-01,include,Munjal Showa Ltd.,,nse_incl_excl
1998-08-01,include,NEPC Agro Foods Ltd.,,nse_incl_excl
1998-08-01,include,NEPC India Ltd,,nse_incl_excl
1998-08-01,include,NIIT Ltd.-Sus,,nse_incl_excl
1998-08-01,include,NOCIL Ltd.,,nse_incl_excl
1998-08-01,include,Nagarjuna Fertilizers & Chemicals Ltd.,,nse_incl_excl
1998-08-01,include,Nahar Industrial Enterprises Ltd.,,nse_incl_excl
