company_name,effective_from,effective_to
TVS Electronics Ltd. - Merge,1999-09-08,2003-09-11
TVS Suzuki Ltd. (old),1998-08-01,2000-05-10
Tata Coffee Ltd.,2002-07-18,2019-09-27
Tata Finance Ltd.,1998-08-01,2005-08-05
Tata Hydro-Electric Power Supply Co. Ltd.,1998-08-01,2000-11-29
Tata Infotech Ltd.-Merged,1998-08-01,2003-04-01
Tata Metaliks Ltd.,2005-04-06,2012-04-27
Tata SSL Ltd.,1998-08-01,2002-06-06
Tata Sponge Iron Ltd.,1998-08-01,2002-09-19
Tata Sponge Iron Ltd.,2003-04-07,2019-03-29
Techno Elt & Eng Co. Ltd.,2012-04-27,2018-08-08
Television Eighteen India Ltd.,2001-04-25,2006-11-17
Television Eighteen India Ltd.,2007-09-24,2011-06-21
Textool Co. Ltd.- Merger,1998-08-01,2000-09-03
Thiru Arooran Sugars Ltd.,1998-08-01,2009-03-27
Tide Water Oil (India) Ltd.,2016-04-01,2017-09-29
Timex Watches Ltd.,1998-08-01,2002-04-23
Tinplate Company of India Ltd.,2010-07-08,2014-09-19
Tips Industries Ltd.,2001-12-07,2007-04-04
Todays Writing Instruments Ltd.,2003-05-02,2007-09-24
Torrent Power AEC Ltd.,1998-08-01,2006-09-21
Tourism Finance Corporation of India Ltd.,1999-02-03,2011-10-10
Triveni Engineering & Industries Ltd. (Old),1998-08-01,1999-02-03
Tulip Telecom Ltd.,2009-06-19,2014-03-28
UCAL Fuel Systems Ltd.,1998-08-01,2009-10-22
UTV Software Communication Ltd.,2009-03-27,2012-03-09
United Bank of India,2017-09-29,2018-04-02
United Breweries (Holdings) Ltd.,2012-04-09,2014-03-28
United Breweries Ltd.-Old,1998-08-01,2002-08-13
United Phosphorous Ltd. -Sus,1998-08-01,2003-12-05
United Western Bank Ltd.,2002-04-23,2006-10-05
Unity Infraprojects Ltd.,2007-03-06,2013-04-01
Usha (India) Ltd.,1998-08-01,2002-09-19
Uttam Galva Steels Ltd.,1998-08-01,2016-04-01
Uttam Value Steels Ltd.,1998-08-01,2002-03-29
Value Industries Ltd.,1998-08-01,2009-10-22
Varun Shipping Co. Ltd.,1998-08-01,2002-09-19
Varun Shipping Co. Ltd.,2007-04-04,2013-09-27
Vashisti Detergents Ltd.,1999-05-26,2006-03-23
Videocon Industries Ltd.,2006-07-14,2018-03-13
Videocon International Ltd.,1998-08-01,2006-01-06
Vijaya Bank,2002-04-23,2019-01-28
Viral Filaments Ltd.,1998-08-01,1999-03-17
Vishal Exports Overseas Ltd.,2005-05-09,2009-03-27
Vision Organics Ltd,2002-03-29,2002-09-19
Visualsoft Technologies Ltd.,2000-05-24,2007-04-30
Wartsila India Ltd.,1998-08-01,2003-05-02
Wellwin Industry Ltd.,2002-09-19,2005-04-20
Western India Industries Ltd.,1998-08-01,1999-02-03
Widia (India) Ltd.,1998-08-01,2002-09-19
Williamson Tea Assam Ltd.,2002-03-29,2006-07-14
Wimco Ltd.-Delisted,1998-08-01,2005-03-24
Winsome Diamonds and Jewellery Ltd.,1998-08-01,2002-09-19
Wockhardt Ltd. (old),1998-08-01,2000-01-12
Woolworth (India) Ltd.,1998-08-01,2000-12-13
Wyeth Ltd.,1998-08-01,2014-05-12
Yokogawa Ltd.,1998-08-01,2004-12-10
Zandu Realty Ltd.,1998-08-01,2009-12-22
Zenith Computer Ltd.,2002-09-19,2008-09-10
Zuari Global Ltd.,1998-08-01,2012-04-09
e-Serve International Ltd.,1999-05-26,2004-12-10
iGate Global Solutions Ltd.,2001-10-11,2008-01-28
