company_name,effective_from,effective_to
Excel Industries Ltd.- Arrangement,1998-08-01,2003-09-29
FCI OEN Connectors Ltd.,2002-04-23,2007-09-10
FCL Technologies & Products Ltd.,2001-08-31,2006-12-15
Federal-Mogul Goetze (India) Ltd.,1998-08-01,2016-04-01
Federal-Mogul Goetze (India) Ltd.,2017-03-31,2017-09-29
Federal-Mogul Goetze (India) Ltd.,2019-09-27,2020-06-26
Financial Technologies (India) Ltd.,2005-12-08,2016-09-30
First Leasing Co. of India Ltd.,2002-09-19,2012-09-28
Flat Products Equipments (India) Ltd.,1998-08-01,2001-12-07
Flexituff International Ltd.,2012-09-28,2016-04-01
Flextronics Software Systems Ltd.,2000-05-24,2006-02-03
Forbes Gokak Ltd.,1998-08-01,2002-09-19
Fresenius Kabi Oncology Ltd.,2005-04-13,2013-11-18
Fulford (India) Ltd.,1998-08-01,2002-09-19
Future Consumer Enterprise Ltd.,2011-11-22,2013-06-11
Future Retail Ltd.,2003-04-01,2010-09-17
Future Retail Ltd.,2011-03-25,2013-04-17
Future Retail Ltd.,2013-11-18,2015-12-14
Future Retail Ltd.,2017-03-16,2017-10-30
GKN Driveshafts Ltd. -Delisted,1998-08-01,2002-09-19
GOL Offshore Ltd.,2009-10-22,2014-09-19
GSL Nova Petrochemicals Ltd.,2002-04-23,2007-09-24
Gammon India Ltd.,2002-09-19,2015-09-28
Gammon Infrastructure Projects Ltd.,2010-04-08,2016-04-01
Garden Silk Mills Ltd.,1998-08-01,2012-09-28
Garware Polyester Ltd.,1998-08-01,2001-12-07
Garware-Wall Ropes Ltd.,1998-08-01,2002-09-19
Gati Ltd.,2012-09-28,2018-09-28
Geodesic Ltd.,2013-04-17,2013-09-27
Geojit BNP Paribas Financial Services Ltd.,2007-04-04,2016-04-01
Geometric Ltd.,2002-03-29,2016-04-01
German Remedies Ltd.,1998-08-01,2003-09-05
Gitanjali Gems Ltd.,2006-09-28,2016-04-01
GlaxoSmithkline Consumer Healthcare Ltd.,1998-08-01,2019-09-27
Global Offshore Services Ltd.,2016-04-01,2016-09-30
Global Trust Bank Ltd.,1999-05-26,2004-08-27
Godavari Fertilisers & Chemicals Ltd.,1998-08-01,2002-09-19
Godavari Fertilisers & Chemicals Ltd.,2003-04-01,2008-02-15
Godrej Industries Ltd.-Old,1998-08-01,2002-07-18
Good Value Marketing Co. Ltd.,1998-08-01,1999-02-03
Gruh Finance Ltd.,2013-04-01,2019-09-27
Gujarat Gas Co. Ltd.,1998-08-01,2015-02-02
Gujarat Industries Power Co. Ltd.,1998-08-01,2016-04-01
Gujarat NRE Coke Ltd.,2005-04-08,2015-09-28
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,1998-08-01,2016-04-01
Gulf Oil India Ltd.-Old,1999-12-08,2002-09-19
HAMCO Mining & Smelting Ltd.,1998-08-01,2000-12-13
HIL Ltd.,1998-08-01,2002-04-23
HSBC InvestDirect (India) Ltd.,2006-03-02,2010-07-08
HSIL Ltd.,2005-09-26,2018-12-28
Henkel SPIC India Ltd.,2001-12-07,2003-04-01
Herbertsons Ltd.,1998-08-01,2000-12-13
Himachal Fut Com Ltd.- Old,1998-08-01,2011-02-08
Hind Lever Chemicals Ltd.,1998-08-01,2004-06-14
Hind Syntex Ltd.,1998-08-01,2002-01-17
Hinduja Ventures Ltd.,2001-10-11,2007-03-29
Hindustan Development Corporation Ltd.,1998-08-01,2000-12-13
Hindustan Organic Chemicals Ltd.,1998-08-01,2005-09-26
Hindustan Powerplus Ltd.,1998-08-01,2002-09-19
Hitachi Home & Life Solutions (India) Ltd.,2016-04-01,2019-03-29
Hitech Drilling Services India Ltd.,1998-08-01,2002-04-23
Hoganas India Ltd.- Sus,1998-08-01,2002-05-21
Honda SIEL Power Products Ltd.,1998-08-01,2009-10-22
Hotel Leela Venture Ltd.,1998-08-01,2015-09-28
