company_name,effective_from,effective_to
Sundaram Clayton Ltd.- OLD,2005-09-25,2008-03-14
Syndicate Bank,2005-09-25,2018-04-02
TV18 Broadcast Ltd.,2013-04-01,2019-03-29
Tata Infotech Ltd.-Merged,2005-09-25,2005-09-26
Tata Motors Ltd DVR,2016-04-01,2020-06-26
Television Eighteen India Ltd.,2007-09-24,2009-10-22
Torrent Power AEC Ltd.,2005-09-25,2006-09-01
Tube Investments of India Ltd.-Old,2005-09-25,2007-09-24
Tube Investments of India Ltd.-Old,2014-09-19,2017-05-26
Videocon Industries Ltd.,2006-03-02,2016-09-30
Videsh Sanchar Nigam Ltd.,2005-09-25,2018-06-29
Vijaya Bank,2005-09-25,2014-03-28
Vijaya Bank,2017-09-29,2018-04-02
Wyeth Ltd.,2005-09-25,2007-04-04
Zee Telefilms Ltd,2005-09-25,2010-10-01
iGate Global Solutions Ltd.,2005-09-25,2005-09-26
