symbol,ex_date,source,factor,clean_ratio,err
COREPROTEC,2013-02-25,bhavcopy-observed,0.376042,0.375,0.0028
COROMANDEL,2006-01-02,kite-observed,0.20003,0.2,0.0001
DABUR,2006-01-19,kite-observed,0.499978,0.5,0.0
DALMIASUG,2005-10-27,kite-observed,0.199995,0.2,0.0
DALMIASUG,2010-09-24,kite-observed,0.338341,,0.015
DCMSHRIRAM,2005-10-07,kite-observed,0.1,0.1,0.0
DCW,2005-09-20,kite-observed,0.2,0.2,0.0
DEWANHOUS,2018-09-21,bhavcopy-observed,0.574154,0.5714285714285714,0.0048
DHANBANK,2008-01-23,kite-observed,0.719661,0.7142857142857143,0.0075
DHFL,2018-09-21,bhavcopy-observed,0.574154,0.5714285714285714,0.0048
EIDPARRY,2005-05-27,kite-observed,0.2,0.2,0.0
EMBDL,2011-12-07,kite-observed,0.874286,0.875,0.0008
FEDERALBNK,2007-11-19,kite-observed,0.764127,0.7692307692307693,0.0066
FEL,2023-11-01,kite-observed,0.855814,0.8571428571428571,0.0016
FELDVR,2025-04-15,kite-observed,0.889567,0.8888888888888888,0.0008
GABRIEL,2005-12-30,kite-observed,0.100037,0.1,0.0004
GAEL,2006-01-06,kite-observed,0.199034,0.2,0.0048
GEOINFO,2007-08-17,bhavcopy-observed,0.64435,0.6428571428571429,0.0023
GKB,2010-03-02,bhavcopy-observed,1.840796,1.8333333333333335,0.0041
GLENMARK,2005-03-04,kite-observed,0.500017,0.5,0.0
GNFC,2015-11-04,kite-observed,0.901356,0.9,0.0015
GOLDENTOBC,2018-09-12,kite-observed,0.898581,0.9,0.0016
GREENPLY,2005-06-16,kite-observed,0.500023,0.5,0.0
GVT&D,2011-12-14,kite-observed,0.907692,0.9090909090909091,0.0015
HARRMALAYA,2010-08-31,kite-observed,0.751129,0.75,0.0015
HAVELLS,2005-08-04,kite-observed,0.500029,0.5,0.0001
HCC,2005-11-08,kite-observed,0.10002,0.1,0.0002
HCL-INSYS,2005-07-08,kite-observed,0.2,0.2,0.0
HEXAWARE,2009-02-12,bhavcopy-observed,1.663342,1.6666666666666667,0.002
HIMATSEIDE,2005-10-14,kite-observed,0.250005,0.25,0.0
HINDALCO,2005-08-30,kite-observed,0.100001,0.1,0.0
HINDALCO,2008-08-28,kite-observed,0.90689,0.9090909090909091,0.0024
HLVLTD,2006-09-08,kite-observed,0.2,0.2,0.0
HSIL,2023-07-03,kite-observed,0.890334,0.8888888888888888,0.0016
HSIL,2024-03-28,kite-observed,0.900999,0.9,0.0011
HSIL,2025-01-29,kite-observed,0.829725,0.8333333333333334,0.0043
HSIL,2026-05-11,kite-observed,0.820267,0.8181818181818182,0.0025
ICSA,2008-10-14,bhavcopy-observed,1.40531,1.4,0.0038
IGFLFERT,2021-12-16,bhavcopy-observed,0.200325,0.2,0.0016
IIFL,2019-05-30,kite-observed,0.717917,0.7142857142857143,0.0051
IL&FSTRANS,2020-05-29,kite-observed,0.891089,0.8888888888888888,0.0025
INDIABULLS,2007-01-02,bhavcopy-observed,0.462488,0.46153846153846156,0.0021
INDRAYON,2016-01-20,bhavcopy-observed,0.427078,0.42857142857142855,0.0035
IPCALAB,2005-01-28,kite-observed,0.500311,0.5,0.0006
ITC,2005-09-21,kite-observed,0.06668,,0.2665
IVRCLINFRA,2006-03-29,bhavcopy-observed,0.199906,0.2,0.0005
JETAIRWAYS,2019-06-20,bhavcopy-observed,1.898792,1.9000000000000001,0.0006
