symbol,max,kinds
NAHARINDUS,2.8,small-unexplained
NAHARPOLY,8.0,small-unexplained
NAHARSPING,2.4,small-unexplained
NATIONALUM,2.1,kite-recent-dividend
NEULANDLAB,4.9,small-unexplained
NIITLTD,80.4,demerger
NILKAMAL,2.3,small-unexplained
NMDC,55.9,demerger|kite-recent-dividend
NOVARTIND,4.6,small-unexplained
NRBBEARING,8.1,small-unexplained
NTPC,8.1,small-unexplained
OFSS,70.2,formula:dividend|kite-recent-dividend|no-filing|small-unexplained
OILCOUNTUB,22.1,small-unexplained
ONELIFECAP,85.0,formula:split(obs)|no-filing|rights-formula|small-unexplained
ONGC,9.7,kite-recent-dividend
ONMOBILE,111.1,formula:bonus|small-unexplained
ONWARDTEC,2.8,kite-recent-dividend
ORIENTPPR,88.1,formula:split(obs)|no-filing|small-unexplained
PANACEABIO,19.9,demerger
PARSVNATH,105.5,formula:split|small-unexplained
PATANJALI,5.5,small-unexplained
PATELENG,28.8,rights-formula
PATSPINLTD,75.2,formula:split(obs)|no-filing|small-unexplained
PENINLAND,9.3,small-unexplained
PETRONET,8.1,kite-recent-dividend
PFIZER,21.0,formula:dividend
PGHL,3.0,kite-recent-dividend
PNB,5.6,kite-recent-dividend
PNC,10.9,small-unexplained
POWERGRID,11.0,
PRAKASH,12.6,demerger
PREMIER,68.8,formula:dividend|no-filing|small-unexplained
PRIVISCL,100.0,demerger|formula:dividend|formula:split(obs)|no-filing|small-unexplained
PTC,11.6,kite-recent-dividend
PUNJABCHEM,93.0,formula:dividend|no-filing|small-unexplained
QUESS,17.8,demerger|kite-recent-dividend
RADICO,80.0,no-filing
RAJESHEXPO,3.8,small-unexplained
RAMCOSYS,5.1,small-unexplained
RAYMOND,171.6,demerger
RCOM,31.3,small-unexplained
REDINGTON,4.5,kite-recent-dividend
RELIANCE,19.7,demerger|formula:split(obs)
RELIGARE,3.3,rights-formula
RELINFRA,4.8,small-unexplained
RHFL,18.8,formula:dividend|small-unexplained
RSWM,10.0,small-unexplained
SADBHAV,2.2,small-unexplained
SADBHIN,18.8,formula:dividend|no-filing|small-unexplained
SALORAINTL,30.3,formula:dividend|no-filing|small-unexplained
SANOFI,38.8,demerger
SAREGAMA,7.2,demerger
SBIN,5.7,small-unexplained
SCI,25.5,demerger|kite-recent-dividend
SHANKARA,311.9,demerger
SIEMENS,33.5,demerger|small-unexplained
SIS,2.6,kite-recent-dividend
SITINET,75.1,formula:split(obs)|small-unexplained
SKFINDIA,2.4,demerger|kite-recent-dividend
SMARTLINK,17.1,formula:dividend|no-filing|small-unexplained
SMLMAH,8.2,rights-formula
SONATSOFTW,2.1,
SOUTHBANK,10.6,rights-formula|small-unexplained
SPLPETRO,100.0,formula:consolidation(obs)
STAR,94.4,demerger|formula:dividend
STLTECH,69.8,demerger|formula:split(obs)|small-unexplained
SUDARCOLOR,12.2,small-unexplained
SUNDARMFIN,6.1,small-unexplained
SUNDRMBRAK,15.8,formula:dividend|kite-recent-dividend|no-filing|small-unexplained
SUNPHARMA,10.8,small-unexplained
SUNTV,50.0,formula:bonus
SUPREMEINF,4.3,small-unexplained
SUVEN,1790.3,demerger
SWARAJENG,8.0,formula:dividend|kite-recent-dividend|small-unexplained
TATACHEM,128.5,demerger
TATACOMM,53.3,demerger
TATAINVEST,2.4,formula:dividend|small-unexplained
TATASTEEL,25.8,formula:split(obs)|kite-recent-dividend|small-unexplained
TCI,49.4,formula:split(obs)|small-unexplained
TECHM,55.5,formula:dividend|kite-recent-dividend|small-unexplained
THERMAX,80.0,formula:split(obs)
THOMASCOOK,68.3,demerger|small-unexplained
TIPSMUSIC,12.2,demerger|small-unexplained
TMPV,16.3,demerger|small-unexplained
TORNTPHARM,75.0,formula:split(obs)
TRENT,5.9,small-unexplained
TRIDENT,5.8,kite-recent-dividend|small-unexplained
TRIGYN,7.9,small-unexplained
TRIVENI,71.1,demerger|formula:split(obs)
TVSHLTD,37.8,demerger
UCAL,8.4,formula:dividend|kite-recent-dividend|small-unexplained
ULTRACEMCO,2.1,kite-recent-dividend
UNIONBANK,20.8,kite-recent-dividend
