symbol,p99,max,max_2006plus
MRPL,2.078,2.1,2.1
MSUMI,0.046,0.1,0.1
MTARTECH,0.704,1.3,1.3
MTEDUCARE,9.678,21.0,21.0
MTNL,0.0,0.1,0.1
MUKTAARTS,8.436,13.5,13.5
MUNJALAU,0.107,93.4,93.4
MUNJALSHOW,22.902,25.0,25.0
MUTHOOTFIN,0.0,0.0,0.0
NAHARINDUS,0.0,2.8,2.8
NAHARPOLY,0.0,8.0,8.0
NAHARSPING,0.0,2.4,2.4
NAM-INDIA,0.0,0.0,0.0
NATCOPHARM,0.0,0.0,0.0
NATIONALUM,2.104,2.1,2.1
NAUKRI,0.756,1.2,1.2
NAVA,80.007,80.0,1.6
NAVINFLUOR,0.312,0.3,0.3
NAVKARCORP,0.0,0.0,0.0
NAVNETEDUL,0.019,0.0,0.0
NAZARA,0.041,0.1,0.1
NBCC,0.131,0.2,0.2
NCC,80.001,80.0,0.0
NDTV,0.018,0.0,0.0
NELCO,0.0,0.0,0.0
NESCO,0.011,0.1,0.1
NESTLEIND,0.033,0.0,0.0
NETWEB,0.0,0.0,0.0
NETWORK18,0.293,0.3,0.3
NEULANDLAB,4.925,4.9,4.9
NEWGEN,0.034,0.0,0.0
NEXTMEDIA,0.0,0.1,0.1
NFL,0.0,0.0,0.0
NH,0.0,0.0,0.0
NHPC,0.001,0.1,0.1
NIACL,0.002,0.0,0.0
NIITLTD,80.179,80.4,80.4
NILKAMAL,0.0,2.3,2.3
NIVABUPA,0.0,0.0,0.0
NLCINDIA,0.012,0.4,0.4
NMDC,55.39,55.9,55.9
NOCIL,0.0,0.0,0.0
NOIDATOLL,0.0,0.0,0.0
NOVARTIND,4.427,4.6,4.6
NRBBEARING,8.067,8.1,8.1
NSLNISP,0.0,0.0,0.0
NTPC,8.083,8.1,8.1
NTPCGREEN,0.0,0.0,0.0
NUVAMA,0.039,0.1,0.1
NUVOCO,0.0,0.0,0.0
NYKAA,0.011,0.0,0.0
OBEROIRLTY,0.003,0.0,0.0
OFSS,62.137,70.2,70.2
OIL,0.266,0.3,0.3
OILCOUNTUB,7.348,22.1,22.1
OLAELEC,0.0,0.0,0.0
OLECTRA,0.0,0.1,0.1
OMAXAUTO,0.0,0.0,0.0
OMAXE,0.008,0.0,0.0
ONELIFECAP,11.829,85.0,85.0
ONESOURCE,0.0,0.0,0.0
ONGC,9.671,9.7,9.7
ONIDA,0.113,0.2,0.2
ONMOBILE,100.2,111.1,111.1
ONWARDTEC,2.778,2.8,2.8
ORCHPHARMA,0.0,0.0,0.0
ORIENTCEM,0.0,0.0,0.0
ORIENTELEC,0.0,0.0,0.0
ORIENTHOT,0.029,1.7,1.7
ORIENTPPR,88.069,88.2,88.1
ORISSAMINE,0.0,0.0,0.0
OSWALAGRO,0.0,0.0,0.0
OSWALGREEN,0.0,0.1,0.1
PAGEIND,0.0,0.0,0.0
PANACEABIO,19.873,19.9,19.9
PARADEEP,0.0,0.0,0.0
PARAGMILK,0.0,2.0,2.0
PARSVNATH,100.979,105.5,105.5
PATANJALI,0.168,5.5,5.5
PATELENG,28.523,28.8,28.8
PATSPINLTD,21.189,75.2,75.2
PAYTM,0.0,0.0,0.0
PCBL,0.525,0.8,0.8
PCJEWELLER,0.359,0.6,0.6
PENIND,0.0,0.0,0.0
PENINLAND,0.0,9.3,9.3
PERSISTENT,0.413,0.4,0.4
PETRONET,7.965,8.1,8.1
PFC,0.042,0.1,0.1
PFIZER,21.038,21.0,21.0
PFOCUS,0.034,0.1,0.1
PFS,0.0,0.0,0.0
PGEL,0.516,0.9,0.9
PGHH,0.0,0.0,0.0
PGHL,2.977,3.0,3.0
PGIL,0.1,0.1,0.1
PHOENIXLTD,0.069,0.1,0.1
PIDILITIND,90.018,90.0,0.2
PIIND,0.002,0.0,0.0
PNB,5.577,5.6,5.6
PNBGILTS,0.036,0.0,0.0
PNBHOUSING,0.013,0.6,0.6
PNC,0.0,10.9,10.9
PNCINFRA,0.021,0.0,0.0
POLICYBZR,0.0,0.0,0.0
POLYCAB,0.0,0.0,0.0
POLYMED,0.012,0.0,0.0
POLYPLEX,0.009,0.0,0.0
POONAWALLA,0.0,0.0,0.0
POWERGRID,8.091,11.0,11.0
POWERINDIA,0.0,0.0,0.0
PPLPHARMA,0.031,0.0,0.0
PRAJIND,90.0,90.0,0.0
PRAKASH,12.604,12.6,12.6
PREMIER,16.489,68.8,68.8
PREMIERENE,0.0,0.0,0.0
PRESTIGE,0.0,0.0,0.0
PRICOLLTD,0.074,0.1,0.1
PRIMESECU,0.0,0.2,0.2
PRINCEPIPE,0.0,0.0,0.0
PRIVISCL,99.983,100.0,100.0
PRSMJOHNSN,0.0,0.0,0.0
PSPPROJECT,0.0,0.7,0.7
PTC,11.322,11.6,11.6
PTCIL,0.0,0.0,0.0
PUNJABCHEM,91.751,93.0,93.0
PURVA,0.0,0.0,0.0
PVP,0.0,0.2,0.2
PVRINOX,0.023,0.0,0.0
QUESS,17.335,17.8,17.8
RADICO,80.0,80.0,80.0
RAILTEL,0.0,0.0,0.0
RAIN,0.0,0.0,0.0
