symbol,effective_from,effective_to,note
MANYAVAR,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
MAPMYINDIA,1900-01-01,,
MARICO,1900-01-01,,
MARUTI,1900-01-01,,
MAXHEALTH,1900-01-01,,
MAZDOCK,1900-01-01,,
MCX,1900-01-01,,
MEDANTA,1900-01-01,,
MEESHO,2026-07-15,,added in 2026-07-15 nse500 refresh (Meesho Ltd.)
METROPOLIS,1900-01-01,2026-07-15,dropped in 2026-07-15 nse500 refresh
MFSL,1900-01-01,,
MGL,1900-01-01,,
MINDACORP,1900-01-01,,
MMTC,1900-01-01,,
MOTHERSON,1900-01-01,,
MOTILALOFS,1900-01-01,,
MPHASIS,1900-01-01,,
MRF,1900-01-01,,
MRPL,1900-01-01,,
MSUMI,1900-01-01,,
MUTHOOTFIN,1900-01-01,,
NAM-INDIA,1900-01-01,,
NATCOPHARM,1900-01-01,,
NATIONALUM,1900-01-01,,
NAUKRI,1900-01-01,,
NAVA,1900-01-01,,
NAVINFLUOR,1900-01-01,,
NBCC,1900-01-01,,
NCC,1900-01-01,,
NESTLEIND,1900-01-01,,
NETWEB,1900-01-01,,
NEULANDLAB,1900-01-01,,
NEWGEN,1900-01-01,,
NH,1900-01-01,,
NHPC,1900-01-01,,
NIACL,1900-01-01,,
NIVABUPA,1900-01-01,,
NLCINDIA,1900-01-01,,
NMDC,1900-01-01,,
NSLNISP,1900-01-01,,
NTPC,1900-01-01,,
NTPCGREEN,1900-01-01,,
NUVAMA,1900-01-01,,
NUVOCO,1900-01-01,,
NYKAA,1900-01-01,,
OBEROIRLTY,1900-01-01,,
OFSS,1900-01-01,,
OIL,1900-01-01,,
OLAELEC,1900-01-01,,
OLECTRA,1900-01-01,,
ONESOURCE,1900-01-01,,
ONGC,1900-01-01,,
PAGEIND,1900-01-01,,
PARADEEP,2026-07-15,,added in 2026-07-15 nse500 refresh (Paradeep Phosphates Ltd.)
PATANJALI,1900-01-01,,
PAYTM,1900-01-01,,
PCBL,1900-01-01,,
PERSISTENT,1900-01-01,,
PETRONET,1900-01-01,,
PFC,1900-01-01,,
