symbol,company,zerodha_sector,zerodha_sector_slug,source_exchange
SRF,SRF Ltd.,Chemicals,chemicals,NSE
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,financial-services,NSE
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,chemicals,NSE
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,financial-services,NSE
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,healthcare,NSE
SUNTV,Sun TV Network Ltd.,Media Entertainment,media-entertainment,NSE
SUPREMEIND,Supreme Industries Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
SUZLON,Suzlon Energy Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
SWANCORP,Swan Corp Ltd.,Textiles,textiles,NSE
SWIGGY,Swiggy Ltd.,Services,services,NSE
SYNGENE,Syngene International Ltd.,Healthcare,healthcare,NSE
SYRMA,Syrma SGS Technology Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TARIL,Transformers And Rectifiers (India) Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TATACAP,Tata Capital Ltd.,Financial Services,financial-services,NSE
TATACHEM,Tata Chemicals Ltd.,Chemicals,chemicals,NSE
TATACOMM,Tata Communications Ltd.,Telecom,telecom,NSE
TATACONSUM,Tata Consumer Products Ltd.,FMCG,fmcg,NSE
TATAELXSI,Tata Elxsi Ltd.,Software Services,software-services,NSE
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,financial-services,NSE
TATAPOWER,Tata Power Co. Ltd.,Energy,energy,NSE
TATASTEEL,Tata Steel Ltd.,Metals,metals,NSE
TATATECH,Tata Technologies Ltd.,Software Services,software-services,NSE
TBOTEK,TBO Tek Ltd.,Tourism Hospitality,tourism-hospitality,NSE
TCS,Tata Consultancy Services Ltd.,Software Services,software-services,NSE
TECHM,Tech Mahindra Ltd.,Software Services,software-services,NSE
TECHNOE,Techno Electric & Engineering Company Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TEGA,Tega Industries Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TEJASNET,Tejas Networks Ltd.,Telecom,telecom,NSE
TENNIND,Tenneco Clean Air India Ltd.,Auto Ancillary,auto-ancillary,NSE
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Tourism Hospitality,tourism-hospitality,NSE
THERMAX,Thermax Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TIINDIA,Tube Investments of India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TIMKEN,Timken India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TITAGARH,Titagarh Rail Systems Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TITAN,Titan Company Ltd.,Retail,retail,NSE
TMCV,Tata Motors Ltd.,Automobile,automobile,NSE
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile,automobile,NSE
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
TORNTPOWER,Torrent Power Ltd.,Energy,energy,NSE
TRAVELFOOD,Travel Food Services Ltd.,FMCG,fmcg,NSE
TRENT,Trent Ltd.,Retail,retail,NSE
TRIDENT,Trident Ltd.,Textiles,textiles,NSE
TRITURBINE,Triveni Turbine Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecom,telecom,NSE
TVSMOTOR,TVS Motor Company Ltd.,Automobile,automobile,NSE
UBL,United Breweries Ltd.,FMCG,fmcg,NSE
UCOBANK,UCO Bank,Financial Services,financial-services,NSE
ULTRACEMCO,UltraTech Cement Ltd.,Building Materials,building-materials,NSE
UNIONBANK,Union Bank of India,Financial Services,financial-services,NSE
UNITDSPR,United Spirits Ltd.,FMCG,fmcg,NSE
UNOMINDA,UNO Minda Ltd.,Auto Ancillary,auto-ancillary,NSE
UPL,UPL Ltd.,Chemicals,chemicals,NSE
URBANCO,Urban Company Ltd.,Services,services,NSE
USHAMART,Usha Martin Ltd.,Metals,metals,NSE
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,financial-services,NSE
VBL,Varun Beverages Ltd.,FMCG,fmcg,NSE
VEDL,Vedanta Ltd.,Metals,metals,NSE
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,healthcare,NSE
VMM,Vishal Mega Mart Ltd.,Retail,retail,NSE
VOLTAS,Voltas Ltd.,Consumer Durables,consumer-durables,NSE
VTL,Vardhman Textiles Ltd.,Textiles,textiles,NSE
WAAREEENER,Waaree Energies Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
WELCORP,Welspun Corp Ltd.,Building Materials,building-materials,NSE
WELSPUNLIV,Welspun Living Ltd.,Textiles,textiles,NSE
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,consumer-durables,NSE
WIPRO,Wipro Ltd.,Software Services,software-services,NSE
WOCKPHARMA,Wockhardt Ltd.,Healthcare,healthcare,NSE
YESBANK,Yes Bank Ltd.,Financial Services,financial-services,NSE
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment,media-entertainment,NSE
ZENSARTECH,Zensar Technolgies Ltd.,Software Services,software-services,NSE
ZENTEC,Zen Technologies Ltd.,Defence,defence,NSE
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Auto Ancillary,auto-ancillary,NSE
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,healthcare,NSE
ZYDUSWELL,Zydus Wellness Ltd.,FMCG,fmcg,NSE
INOXINDIA,Inox India Ltd.,Engineering Capital Goods,engineering-capital-goods,NSE
AKUMS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,healthcare,NSE
