signal,window,shape,hyst,params,is_mean_w,is_cagr,is_maxdd,is_sharpe,is_taken,is_expo,is_c_cagr,is_c_maxdd,is_c_sharpe,is_c_expo,is_edge,is_chg_yr,is_cash,oos_mean_w,oos_cagr,oos_maxdd,oos_sharpe,oos_taken,oos_expo,oos_c_cagr,oos_c_maxdd,oos_c_sharpe,oos_c_expo,oos_edge,oos_chg_yr,oos_cash
pct_above_200,126,D2_two_bucket,0,2,0.6234967622571693,0.19817608091624006,0.3657207628731166,0.8493416090058598,307,0.5662522672238167,0.18511048580989775,0.3924856269042567,0.8317723758654736,0.617005981892199,0.017569233140386165,7.435114503816794,0.5623441396508728,0.6274809160305344,0.1509038562920506,0.43702339652710387,0.5684880519323259,417,0.6662178085223902,0.16290690854702827,0.31826440944683143,0.6889014733681005,0.6780004548311298,-0.1204134214357746,10.665599385245903,0.5158610271903323
pct_above_200,126,D3_continuous,0,4,0.639334659373779,0.19627984567053725,0.30922481743135555,0.9197666737256527,443,0.5081556696887921,0.18927535819047203,0.39876132541694187,0.8398192309740165,0.630736370696599,0.07994744275163623,153.96882951653944,0.200332502078138,0.5971034499578202,0.1304464823077589,0.31183239924013917,0.5384748322598523,574,0.5319612750768898,0.1565080281914144,0.30578683769336046,0.6789100071127524,0.6486624974575028,-0.14043517485290014,174.4854636270492,0.14954682779456194
pct_leading,21,D1_four_bucket,0,4,0.8418131359851989,0.2599501866298777,0.37908457391588846,1.1080333275524679,444,0.713235232481198,0.23031998965678913,0.45131928141626665,0.9135461128207871,0.7770762730370959,0.19448721473168074,11.798663324979115,0.2528688524590164,0.7690294438386042,0.16357588810760704,0.3921379887395273,0.5778054802073698,571,0.7960533091320015,0.18575028612779554,0.3735149199540331,0.6992491989748234,0.8074274155841206,-0.12144371876745363,11.133388831967213,0.2809667673716012
pct_leading,21,D2_two_bucket,0,2,0.7560900400863398,0.2301489082823529,0.41172381918075496,0.9011002903519522,422,0.7177535368376136,0.21716316089404253,0.4423325814326685,0.8858314339501263,0.7256794121341235,0.015268856401825848,10.27297410192147,0.43975409836065577,0.6632497273718648,0.1463636333838041,0.401473910234722,0.4882515525040008,528,0.7860926870892855,0.17028050298710262,0.3326656116230101,0.698971721104116,0.7122409711939643,-0.21072016860011517,10.291367827868854,0.4618580060422961
pct_leading,21,D3_continuous,0,4,0.7011391853948565,0.2092066027422934,0.383179325615403,0.8864096110505489,495,0.6135041102144981,0.20524896945875604,0.4223331740467108,0.8686420658446165,0.6833168673546607,0.01776754520593249,21.563074352548036,0.20532786885245902,0.6048547042029989,0.15661780710924722,0.31723199893933685,0.5940763486421499,586,0.6757053474788386,0.15815286944481222,0.30899266575753614,0.6815963388249932,0.6561717115313332,-0.08751999018284329,19.647156762295083,0.2692598187311178
pct_leading,42,D1_four_bucket,0,4,0.7627197039777983,0.26118447868366523,0.30268498880693184,1.1641086850299074,414,0.6725038668613015,0.2186445636418779,0.4434165994895346,0.8894692485156063,0.7301266112744437,0.2746394365143011,8.928561393649902,0.3083918974782968,0.7776444929116685,0.17547364599727588,0.40180936570202386,0.6685731781658403,547,0.7707787783233635,0.18683989503288356,0.3764114899049663,0.6987867270621279,0.814638133924769,-0.03021354889628758,9.075115266393443,0.2783232628398791
pct_leading,42,D2_two_bucket,0,2,0.6472402096823928,0.23145321400664054,0.30526404508493454,0.9931637183784178,373,0.6626919441192838,0.19134581597648714,0.40185667945430326,0.8437040427319602,0.6375645808023519,0.14945967564645757,7.902289969092442,0.5039272426622571,0.7005452562704471,0.17997464979668565,0.3787185340296353,0.7005125330393955,484,0.7498211618337272,0.1777743315764564,0.34735789740155754,0.7078428481846855,0.7472576887049182,-0.007330315145289923,8.233094262295083,0.42371601208459214
pct_leading,42,D3_continuous,0,4,0.6885621905115001,0.19559207076654483,0.3400117747978155,0.8561138194477842,468,0.5810440591302939,0.2021626433039183,0.41764987718049384,0.8634141986413607,0.672904059065545,-0.007300379193576512,21.65432705816241,0.20463001240181894,0.6584894084485142,0.1641381672351716,0.3336682592590122,0.6806335692221552,583,0.6618526571997513,0.16930910140540512,0.3307667905645112,0.6977280670874093,0.7077024722364189,-0.017094497865254077,20.956967213114755,0.2039274924471299
pct_leading,63,D1_four_bucket,0,4,0.7904717853839038,0.2348521349469963,0.31959782935794245,1.0400738062487367,413,0.6624825436491885,0.22489969960824285,0.4461470266770451,0.9059935430274454,0.7480640083668223,0.1340802632212913,9.527360362914658,0.32276897414512096,0.7235550708833152,0.16492856584273508,0.31036926976672496,0.6323431503436648,493,0.6866369592229689,0.18243029059585902,0.3562627523581101,0.7152898585696742,0.7676821872493927,-0.08294670822600936,8.700883709016393,0.31948640483383683
pct_leading,63,D2_two_bucket,0,2,0.688868331791551,0.2113548477582774,0.371902174823874,0.8789097086783692,363,0.6567582076215315,0.2021626433039183,0.41764987718049384,0.8634141986413607,0.672904059065545,0.015495510037008442,8.80245250921463,0.5108423686405338,0.6303162486368593,0.18461980791810118,0.28473464228136647,0.7528416029808486,408,0.6683124501981322,0.16349771028860682,0.3194173184527608,0.6897633268217288,0.680726457631092,0.06307827615911976,7.484631147540984,0.47583081570996977
