date,portfolio_value,cash,invested,benchmark,drawdown,exposure
2021-06-07,3154252.834271186,0.0,3154252.834271186,16018.6,0.0,1.0
2021-06-08,3216236.972420931,0.0,3216236.972420931,16017.2,0.0,1.0
2021-06-09,3162102.806167156,0.0,3162102.806167156,15904.75,-0.016831522900200624,1.0
2021-06-10,3187526.4106902853,0.0,3187526.4106902853,16021.5,-0.008926755701410438,1.0
2021-06-11,3171965.7454138473,0.0,3171965.7454138473,16079.6,-0.013764914521755434,1.0
2021-06-14,3140857.2875933493,0.0,3140857.2875933493,16079.7,-0.02343722974207385,1.0
2021-06-15,3115705.6480729925,0.0,3115705.6480729925,16136.65,-0.03125743693950089,1.0
2021-06-16,3078376.3605199032,0.0,3078376.3605199032,16025.55,-0.0428639472411938,1.0
2021-06-17,2991190.840685995,0.0,2991190.840685995,15936.2,-0.06997187510270397,1.0
2021-06-18,2919485.7128175865,0.0,2919485.7128175865,15915.55,-0.09226660291140587,1.0
2021-06-21,2994579.1886637346,1.7462298274040222e-10,2994579.1886637346,15991.25,-0.06891836194220158,1.0
2021-06-22,3106122.1544732,1.7462298274040222e-10,3106122.1544732,16026.95,-0.03423715941703298,1.0
2021-06-23,3064732.762705828,1.7462298274040222e-10,3064732.762705828,15933.15,-0.04710604691577258,1.0
2021-06-24,3016304.9254237143,1.7462298274040222e-10,3016304.9254237143,16011.55,-0.062163344527043196,1.0
2021-06-25,2977294.155885423,1.7462298274040222e-10,2977294.155885423,16087.2,-0.07429266518121347,1.0
2021-06-28,2964858.753954125,1.1641532182693481e-10,2964858.753954125,16055.2,-0.07815910973673934,1.0
2021-06-29,2982126.3253915305,1.1641532182693481e-10,2982126.3253915305,15992.1,-0.07279023561910625,1.0
2021-06-30,2985342.359337323,1.1641532182693481e-10,2985342.359337323,15959.4,-0.07179029874462539,1.0
2021-07-01,2977994.139467254,1.1641532182693481e-10,2977994.139467254,15928.1,-0.07407502463176607,1.0
2021-07-02,3001254.5792556438,1.1641532182693481e-10,3001254.5792556438,15957.1,-0.06684283372424049,1.0
2021-07-05,3085649.927389646,0.0,3085649.927389646,16066.9,-0.040602432641332786,1.0
