family,params,backstop,n,win,avgw,avgl,exp,alpha,medhold,meanhold,keep,n21,win21,exp21,openpct,2006-12,2013-19,2020-26,E1,E2,E3,E4,E5,E15,E6,ann
X3,N=63,True,1828,46.9,33.7,-14.6,8.11,5.05,64,63,43.3,493,46.5,7.97,1.9,6.55,7.32,10.44,False,True,False,True,False,False,False,36.60401666153839
X7,N=42 Y=5 / A=25 k=60,False,1828,54.2,26.9,-14.5,7.94,4.61,43,61,45.8,501,52.9,6.07,1.7,6.11,6.99,10.7,False,True,False,True,False,False,False,37.11388832120483
X8,A=25 k=60/75,True,1828,47.2,33.7,-15.6,7.72,4.59,57,66,54.2,492,49.0,8.37,2.1,5.55,5.91,11.68,False,True,False,True,False,False,False,32.83524352431142
X2,A=15 m=3,True,1828,50.0,30.1,-15.0,7.57,4.69,54,62,40.3,494,52.8,8.76,1.9,5.35,6.54,10.77,False,True,False,True,False,False,False,34.52694072556521
X3,N=42,True,1828,46.4,30.0,-12.7,7.14,4.68,43,51,41.6,501,47.1,6.98,1.4,5.45,7.02,8.91,False,True,False,True,False,False,False,40.603570354333485
X3,N=42,False,1828,46.4,30.0,-12.7,7.14,4.68,43,51,41.6,501,47.1,6.98,1.4,5.45,7.02,8.91,False,True,False,True,False,False,False,40.603570354333485
X7,N=42 Y=5 / A=25 k=60,True,1828,50.9,26.5,-13.1,7.06,4.57,43,50,45.6,501,49.7,5.4,1.6,5.43,6.51,9.2,False,True,False,True,False,False,False,41.033175570006854
X1,A=15 k=65,True,1828,56.1,24.9,-16.3,6.8,4.22,41,52,56.3,499,58.7,7.13,1.6,5.23,5.05,10.11,False,True,False,True,False,False,False,37.55002894816024
X5,—,True,1828,35.6,29.4,-8.1,5.26,3.81,21,32,36.6,504,34.9,5.22,1.3,3.46,5.27,7.0,False,True,False,True,False,False,False,49.73523369348707
X6,R=100,True,1828,35.6,29.5,-8.1,5.26,3.81,21,32,36.6,504,34.9,5.22,1.3,3.49,5.25,7.0,False,True,False,True,False,False,False,49.73523369348707
X6,R=50,True,1828,36.0,28.7,-8.1,5.11,3.78,21,31,37.5,504,35.7,5.13,1.3,3.43,4.94,6.92,False,True,False,True,False,False,False,49.94951574002624
