cell,n,win,exp,med,closed90,avgw,avgl,medhold,yr_exp_p10,yr_exp_p50,yr_win_p10,yr_neg,yr_win_under40,ride
X9 N=21 Z=15 k=50 +ma150,1828,44.42013129102845,10.538406295824482,-4.2400142369761085,71.00656455142233,41.32736460228751,-14.068517075088879,54.0,-1.3818107454043218,8.579355518040146,32.0,14.280000000000001,26.06,45.51275711159738
X9 N=42 Z=15 k=65 +ma150,1828,43.49015317286652,7.745034815423263,-4.791965056565162,79.15754923413567,35.40827643793478,-13.544681631717745,41.0,-1.566966969133861,6.064829768172144,32.0,16.28,28.720000000000002,44.51317286652079
X9 N=42 Z=15 k=50 +ma150,1828,43.435448577680525,10.385658332178817,-4.791965056565162,72.3741794310722,41.53435915578724,-13.533169959837716,48.0,-1.2084658301138957,8.331266975868694,32.0,13.88,30.54,43.23512035010941
X2 A=15 m=5 +ma150,1828,43.21663019693654,12.253435470126183,-3.5909671118260933,64.49671772428884,47.41615093244066,-14.508168783465772,70.0,-0.7094685263740909,10.532973259023581,32.0,11.64,30.18,42.285317286652074
X2 A=25 m=5 +ma150,1828,43.161925601750546,12.623555844042361,-3.8204002605991496,61.10503282275711,48.942590160257176,-14.956538550080339,74.0,-0.6037419048036676,10.648274308994608,32.0,11.5,30.459999999999997,40.8739387308534
X0 —,1828,41.2472647702407,15.505193280214586,-4.95522099534354,54.102844638949676,59.08469042050659,-15.089723706545366,83.0,-0.41787609494328387,13.255536948295036,28.000000000000004,10.6,37.92,33.328402625820566
X9 N=21 Z=10 k=65 +ma150,1828,39.38730853391685,6.602698956194798,-6.7122342349135,81.4004376367615,35.13156379154712,-11.935913572192996,33.0,-2.17665717831616,4.834727883013431,28.000000000000004,20.0,45.4,29.247483588621453
X9 N=21 Z=10 k=50 +ma150,1828,39.332603938730855,8.822218699947182,-6.7122342349135,75.43763676148797,40.825660131294946,-11.926631064831028,39.0,-1.8663724321690043,6.965922767637762,28.000000000000004,17.580000000000002,45.660000000000004,29.09765864332604
X9 N=42 Z=10 k=65 +ma150,1828,38.29321663019694,6.329619886855858,-7.131898428402134,83.15098468271334,34.51430475928423,-11.16087604461565,30.0,-2.104148028871106,4.601407043675243,28.000000000000004,20.26,49.54,26.523610503282267
X9 N=42 Z=10 k=50 +ma150,1828,38.23851203501094,8.421166528678494,-7.131898428402134,77.24288840262582,40.03576853456153,-11.152444456363348,32.0,-2.1058026571013535,6.21906301294799,27.60000000000014,18.84,49.7,25.445667396061275
X6 R=50 +ma150,1828,35.99562363238512,5.1105472551853355,-3.3986234016821157,94.14660831509846,28.6562915149061,-8.131418319939678,21.0,-2.1335807022302085,3.788090274055813,24.0,22.54,58.58,21.824266958424502
X6 R=100 +ma150,1828,35.61269146608315,5.263662303409759,-3.4660968278842184,93.38074398249454,29.46190774930621,-8.120413979749621,21.0,-2.000145617928692,4.047181413186099,24.0,21.04,60.540000000000006,21.65498905908096
X5 — +ma150,1828,35.61269146608315,5.259046611207325,-3.4660968278842184,93.32603938730854,29.44894694232303,-8.120413979749621,21.0,-2.060829675480278,4.173608329326143,24.0,21.099999999999998,60.68,21.503107221006562
