symbol,entry_date,exit_date_x0,ret_x0,hold_x0,why_x0,peak_gain_x0,closed_x0,exit_date_win,ret_win,hold_win,why_win,peak_gain_win,closed_win,exit_date_winbs,ret_winbs,hold_winbs,why_winbs,peak_gain_winbs,closed_winbs,d_ret_win,d_ret_winbs,kept_x0,kept_win
KTKBANK,2022-12-01,2023-04-24,-0.13268350962339848,96,ma150,0.11079240417004055,True,2024-05-30,0.43747722867110217,370,ratchet,0.9085186980849662,True,2023-04-24,-0.13268350962339848,96,ma150_backstop,0.11079240417004055,True,0.5701607382945006,0.0,-1.197586699353145,0.48152804074725664
RVNL,2022-12-01,2024-10-28,4.647986421405643,473,ma150,7.409864771376826,True,2025-02-18,3.4769568036640326,552,ratchet,7.409864771376826,True,2024-10-28,4.647986421405643,473,ma150_backstop,7.409864771376826,True,-1.1710296177416106,0.0,0.6272700737211971,0.46923350303165917
KIRLOSENG,2022-12-01,2024-10-07,2.3347249647885935,458,ma150,3.1519248390267762,True,2023-05-25,0.13051980039042332,118,ratchet,0.27590600518526087,True,2023-05-25,0.13051980039042332,118,ratchet,0.27590600518526087,True,-2.20420516439817,-2.20420516439817,0.7407298980864941,0.47305893288833645
GESHIP,2022-12-01,2023-02-14,-0.16555956680565043,52,ma150,0.07103587320838978,True,2023-11-07,0.14216623222013092,231,ratchet,0.2986725021334937,True,2023-02-14,-0.16555956680565043,52,ma150_backstop,0.07103587320838978,True,0.30772579902578134,0.0,-2.330647309986144,0.4759937095132673
RHIM,2023-01-02,2023-02-16,-0.217230245991215,32,ma150,0.021959815903935365,True,2026-09-09,-0.5617803222697619,914,open_at_end,0.021959815903935365,False,2023-02-16,-0.217230245991215,32,ma150_backstop,0.021959815903935365,True,-0.34455007627854695,0.0,-9.892170633009982,-25.582196350247482
SOUTHBANK,2023-01-02,2023-03-31,-0.23127659276766488,61,ma150,0.06802941096092585,True,2024-03-14,0.5115807247347317,298,ratchet,1.026117802799381,True,2023-03-31,-0.23127659276766488,61,ma150_backstop,0.06802941096092585,True,0.7428573175023966,0.0,-3.3996559649840794,0.4985594474036742
J&KBANK,2023-01-02,2024-05-31,1.2650300455891386,349,ma150,1.5954256172815087,True,2024-10-07,0.7521144413067302,436,ratchet,1.5954256172815087,True,2024-05-31,1.2650300455891386,349,ma150_backstop,1.5954256172815087,True,-0.5129156042824083,0.0,0.7929107016249741,0.47141930852801495
ANANTRAJ,2023-01-02,2025-01-28,4.263692313203878,514,ma150,7.4851312937002294,True,2025-02-18,3.6849599676031337,530,ratchet,7.4851312937002294,True,2025-01-28,4.263692313203878,514,ma150_backstop,7.4851312937002294,True,-0.578732345600744,0.0,0.5696215798903037,0.4923039854630921
UCOBANK,2023-01-02,2023-06-16,-0.16756277709717105,112,ma150,0.03631281165409583,True,2023-10-23,0.17022069829474407,199,ratchet,0.46916297993644696,True,2023-06-16,-0.16756277709717105,112,ma150_backstop,0.03631281165409583,True,0.3377834753919151,0.0,-4.614425858656173,0.3628178385212794
VBL,2023-01-02,2024-08-16,1.129589681436857,401,ma150,1.5159617097738587,True,2025-02-19,0.742671760470234,531,ratchet,1.5159617097738587,True,2024-08-16,1.129589681436857,401,ma150_backstop,1.5159617097738587,True,-0.3869179209666229,0.0,0.7451307471383045,0.48990139769494634
BANKBARODA,2023-01-02,2023-10-27,0.03561055440413252,202,ma150,0.16623397967374887,True,2024-08-06,0.29038931657939293,394,ratchet,0.5896863909300882,True,2023-10-27,0.03561055440413252,202,ma150_backstop,0.16623397967374887,True,0.2547787621752604,0.0,0.21421946628494287,0.4924470380287626
HSCL,2023-01-02,2023-01-18,-0.0636955165654266,12,ma150,-0.004602410649413802,True,2026-09-09,5.609995032941205,914,open_at_end,6.952258646492613,False,2023-01-18,-0.0636955165654266,12,ma150_backstop,-0.004602410649413802,True,5.673690549506632,0.0,,0.8069312892683337
TWL,2023-02-01,2024-03-13,2.7527267786748832,276,ma150,4.232555687201951,True,2025-01-13,3.4979880079680488,482,ratchet,7.257758756760754,True,2024-03-13,2.7527267786748832,276,ma150_backstop,4.232555687201951,True,0.7452612292931655,0.0,0.6503698904655523,0.48196531811002946
HITECH,2023-02-01,2023-03-28,-0.21964787940736374,38,ma150,-0.01103248971569637,True,2024-03-12,0.318126362796882,275,ratchet,0.7998215608532031,True,2023-03-28,-0.21964787940736374,38,ma150_backstop,-0.01103248971569637,True,0.5377742422042457,0.0,,0.3977466704667517
LSIL,2023-02-01,2024-03-14,1.0270266813812614,277,ma150,1.6803144679006823,True,2025-03-03,1.4453693437368802,517,ratchet,3.140175437666737,True,2024-03-14,1.0270266813812614,277,ma150_backstop,1.6803144679006823,True,0.4183426623556188,0.0,0.6112109971084088,0.4602829913257463
MAHINDCIE,2023-02-01,2023-10-23,0.12007925440825185,178,ma150,0.3641053351489132,True,2023-07-28,0.16325333101948103,120,ratchet,0.3641053351489132,True,2023-07-28,0.16325333101948103,120,ratchet,0.3641053351489132,True,0.043174076611229184,0.043174076611229184,0.32979262542017235,0.4483684122692491
KAMDHENU,2023-02-01,2023-05-24,-0.20313586202160805,74,ma150,-0.015883964579538223,True,2024-03-20,0.3033382404113305,281,ratchet,0.6800569714841673,True,2023-05-24,-0.20313586202160805,74,ma150_backstop,-0.015883964579538223,True,0.5064741024329386,0.0,,0.4460482770279087
RICOAUTO,2023-02-01,2023-03-16,-0.22069008132044055,30,ma150,-0.007887752213355914,True,2023-08-03,0.09553707559682656,124,ratchet,0.25939625428768087,True,2023-03-16,-0.22069008132044055,30,ma150_backstop,-0.007887752213355914,True,0.3162271569172671,0.0,,0.3683055326268208
BDL,2023-02-01,2023-02-09,-0.0943779441036865,6,ma150,0.0005658115528783814,True,2023-09-13,0.16325626463304577,152,ratchet,0.3284787122774093,True,2023-02-09,-0.0943779441036865,6,ma150_backstop,0.0005658115528783814,True,0.25763420873673226,0.0,-166.80101992186187,0.49700713784816397
DATAPATTNS,2023-02-01,2023-10-26,0.3039233653931468,180,ma150,0.7703744804726311,True,2023-10-26,0.3039233653931468,180,ratchet,0.7703744804726311,True,2023-10-26,0.3039233653931468,180,ma150_backstop,0.7703744804726311,True,0.0,0.0,0.39451380217928206,0.39451380217928206
UGARSUGAR,2023-02-01,2023-08-14,0.13037735577683685,131,ma150,0.43241672512993734,True,2023-08-14,0.13037735577683685,131,ratchet,0.43241672512993734,True,2023-08-14,0.13037735577683685,131,ma150_backstop,0.43241672512993734,True,0.0,0.0,0.30150858697165245,0.30150858697165245
JSL,2023-02-01,2024-08-06,1.5898015739970468,373,ma150,2.17976697093106,True,2025-04-08,1.006861873424945,541,ratchet,2.17976697093106,True,2024-08-06,1.5898015739970468,373,ma150_backstop,2.17976697093106,True,-0.5829397005721018,0.0,0.7293447396892996,0.4619126204095462
FACT,2023-02-01,2023-03-29,-0.3233202655207832,39,ma150,-0.039508652259967136,True,2025-02-19,1.4011945031863111,510,ratchet,2.8039078702868925,True,2023-03-29,-0.3233202655207832,39,ma150_backstop,-0.039508652259967136,True,1.7245147687070943,0.0,,0.4997291523144598
TVSMOTOR,2023-03-01,2023-03-14,-0.02712773955833525,8,ma150,0.032195827582280456,True,2026-09-09,2.8531074100532092,873,open_at_end,3.1538953010884674,False,2023-03-14,-0.02712773955833525,8,ma150_backstop,0.032195827582280456,True,2.8802351496115444,0.0,-0.8425855645116413,0.9046297158528215
AEGISCHEM,2023-03-01,2023-06-02,-0.07185122540826028,61,ma150,0.11596950723112531,True,2024-03-12,0.09960592198515328,255,ratchet,0.2811007068422531,True,2023-06-02,-0.07185122540826028,61,ma150_backstop,0.11596950723112531,True,0.17145714739341356,0.0,-0.6195699811422151,0.3543424813977779
SURYAROSNI,2023-03-01,2024-03-06,0.6545020154788717,252,ma150,1.4726165976697332,True,2023-05-30,0.1340936956988401,58,ratchet,0.2663150589186085,True,2023-05-30,0.1340936956988401,58,ratchet,0.2663150589186085,True,-0.5204083197800315,-0.5204083197800315,0.4444483489555631,0.5035152583685549
ELECON,2023-03-01,2023-03-03,-0.03277456796672018,2,ma150,-0.009755852666499365,True,2025-02-12,1.318531759473467,485,ratchet,2.6757159022214334,True,2023-03-03,-0.03277456796672018,2,ma150_backstop,-0.009755852666499365,True,1.351306327440187,0.0,,0.49277718848207885
IONEXCHANG,2023-03-01,2024-01-30,0.4876091280155803,225,ma150,0.9299012364306172,True,2023-08-10,0.4337155780738715,109,ratchet,0.7747896082905752,True,2023-08-10,0.4337155780738715,109,ratchet,0.7747896082905752,True,-0.05389354994170881,-0.05389354994170881,0.5243665766993121,0.5597849705686965
ATULAUTO,2023-03-01,2023-07-06,-0.051213012608796515,84,ma150,0.19847283652493242,True,2024-03-14,0.3922383017090618,257,ratchet,0.9173857752715437,True,2023-07-06,-0.051213012608796515,84,ma150_backstop,0.19847283652493242,True,0.44345131431785834,0.0,-0.25803537403650234,0.4275609152463263
SUNFLAG,2023-03-01,2023-10-25,0.2880846804115591,159,ma150,0.8415369564361412,True,2023-05-31,0.11266863087179213,59,ratchet,0.31300373456425534,True,2023-05-31,0.11266863087179213,59,ratchet,0.31300373456425534,True,-0.17541604953976697,-0.17541604953976697,0.34233158533117847,0.35995938204584843
POWERMECH,2023-03-01,2023-11-02,0.6894997564433585,165,ma150,1.3112392019615973,True,2025-01-28,1.0891559360791376,473,ratchet,2.4291816675332893,True,2023-11-02,0.6894997564433585,165,ma150_backstop,1.3112392019615973,True,0.39965617963577915,0.0,0.5258382722327669,0.44836331124840084
BDL,2023-03-01,2023-03-14,-0.059349667012317586,8,ma150,0.00874279420501356,True,2023-06-28,0.1398909965908548,79,ratchet,0.26605649914787666,True,2023-03-14,-0.059349667012317586,8,ma150_backstop,0.00874279420501356,True,0.19924066360317239,0.0,-6.788409474202594,0.525794322028954
SAKSOFT,2023-03-01,2023-12-18,1.1663712851473322,196,ma150,1.7105598244826932,True,2023-05-03,0.3161626508784079,39,ratchet,0.6327673799218365,True,2023-05-03,0.3161626508784079,39,ratchet,0.6327673799218365,True,-0.8502086342689243,-0.8502086342689243,0.6818652399369112,0.49965067876517644
KIRLFER,2023-03-01,2023-09-14,0.09217307140758724,133,ma150,0.2317748839810183,True,2026-09-09,0.0846864713644615,259,open_at_end,0.2317748839810183,False,2023-09-14,0.09217307140758724,133,ma150_backstop,0.2317748839810183,True,-0.007486600043125735,0.0,0.39768360498946875,0.36538243449793756
HAL,2023-03-01,2023-03-24,-0.032968066488454295,16,ma150,0.08562769224387701,True,2025-02-19,1.5303291181821526,490,ratchet,3.2632285720146434,True,2023-03-24,-0.032968066488454295,16,ma150_backstop,0.08562769224387701,True,1.5632971846706067,0.0,-0.38501640794613085,0.4689616692211548
TRITURBINE,2023-03-01,2023-10-13,0.11636770119804063,152,ma150,0.31545840128674474,True,2023-10-11,0.1408745021519473,150,ratchet,0.31545840128674474,True,2023-10-11,0.1408745021519473,150,ratchet,0.31545840128674474,True,0.02450680095390667,0.02450680095390667,0.36888445742253334,0.446570773126741
PRICOLLTD,2023-04-03,2024-03-12,0.6277227973783119,234,ma150,0.9880267689952331,True,2026-09-09,2.4944031729555123,852,open_at_end,2.7866170516781326,False,2024-03-12,0.6277227973783119,234,ma150_backstop,0.9880267689952331,True,1.8666803755772003,0.0,0.6353297472058073,0.8951366932364654
ACE,2023-04-03,2024-08-06,2.120376296408668,332,ma150,2.886647747566778,True,2025-08-12,1.3392409096773576,586,ratchet,2.886647747566778,True,2024-08-06,2.120376296408668,332,ma150_backstop,2.886647747566778,True,-0.7811353867313104,0.0,0.7345462563612003,0.4639433096075663
FINCABLES,2023-04-03,2023-10-19,0.12808255243748778,135,ma150,0.4545454987866522,True,2023-10-16,0.1969883833454633,132,ratchet,0.4545454987866522,True,2023-10-16,0.1969883833454633,132,ratchet,0.4545454987866522,True,0.06890583090797553,0.06890583090797553,0.2817815879364923,0.4333744011794137
TDPOWERSYS,2023-04-03,2024-03-14,0.6833893515499947,236,ma150,1.0710766435275785,True,2025-03-03,0.9196889670945894,476,ratchet,1.9766218568146368,True,2024-03-14,0.6833893515499947,236,ma150_backstop,1.0710766435275785,True,0.23629961554459467,0.0,0.6380396357997872,0.46528321232705855
