symbol,status,merged_rows,kite_rows,gdf_rows_used,anchor_date,rescale_pct,boundary_pct,warn,gdf_rows
ELECTCAST,gdf_only,,,,,,,,3673.0
ELGIEQUIP,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.7001166861143382,False,
ELLEN,no_data,,,,,,,,
EMAMILTD,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.8551145530816484,False,
EMBDL,no_data,,,,,,,,
EMCURE,kite_only,,455.0,,,,,,
EMIL,gdf_only,,,,,,,,299.0
EMMVEE,no_data,,,,,,,,
ENDURANCE,stitched,2370.0,1579.0,791.0,2023-12-29,0.0,0.58263201701656,False,
ENGINERSIN,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.2525252525252486,False,
ENRIN,kite_only,,221.0,,,,,,
ENTERO,no_data,,,,,,,,
EPL,gdf_only,,,,,,,,3672.0
EQUITASBNK,gdf_only,,,,,,,,784.0
ERIS,stitched,2197.0,1579.0,618.0,2023-12-29,0.0,4.725738396624468,False,
ESCORTS,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-3.7166454891994882,False,
ETERNAL,kite_only,,1190.0,,,,,,
ETHOSLTD,gdf_only,,,,,,,,395.0
EUREKAFORB,no_data,,,,,,,,
EXIDEIND,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.2680965147453085,False,
FACT,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-1.134930643127352,False,
FEDERALBNK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.909607731665707,False,
FEDFINA,gdf_only,,,,,,,,21.0
FIEMIND,gdf_only,,,,,,,,3669.0
FINCABLES,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,3.5435192670439264,False,
FINPIPE,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,-1.1808861222995182,False,
FIRSTCRY,kite_only,,432.0,,,,,,
FIVESTAR,no_pre_history,,861.0,,,0.0,,,
FLUOROCHEM,stitched,1631.0,1579.0,52.0,2023-12-29,0.0,-2.2578824288363886,False,
FORCEMOT,stitched,1592.0,1503.0,89.0,2023-10-25,0.0,0.6638086018531109,False,
FORTIS,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.7960576194086189,False,
FSL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.6082725060827299,False,
GABRIEL,gdf_only,,,,,,,,3672.0
GAEL,gdf_only,,,,,,,,3672.0
GAIL,stitched,4258.0,1579.0,2679.0,2023-12-29,-6.915484268969774,-3.4068574372806304,True,
GALLANTT,gdf_only,,,,,,,,3576.0
GESHIP,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.8529854490717526,False,
GHCL,gdf_only,,,,,,,,3673.0
GICRE,stitched,2117.0,1579.0,538.0,2023-12-29,-2.67813666612563,0.41450263072908555,False,
GILLETTE,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,0.32083691297106753,False,
GLAND,no_pre_history,,1355.0,,,0.0,,,
GLAXO,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,1.3382599515618265,False,
GLENMARK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.503669592747158,False,
GMDCLTD,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,2.0308692120227567,False,
GMMPFAUDLR,gdf_only,,,,,,,,1443.0
GMRAIRPORT,kite_only,,1579.0,,,,,,
GMRP&UI,gdf_only,,,,,,,,440.0
GNFC,gdf_only,,,,,,,,3673.0
GODFRYPHLP,stitched,4256.0,1579.0,2677.0,2023-12-29,0.014226774790149221,1.636483802571198,False,
GODIGIT,kite_only,,488.0,,,,,,
GODREJAGRO,stitched,2123.0,1579.0,544.0,2023-12-29,0.0,1.209014411451781,False,
GODREJCP,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.9933532977868698,False,
GODREJIND,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,1.6723589683193874,False,
GODREJPROP,stitched,4056.0,1579.0,2477.0,2023-12-29,0.0,0.19224931700900783,False,
GOKEX,gdf_only,,,,,,,,3671.0
GOKULAGRO,gdf_only,,,,,,,,1931.0
GPIL,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,2.586206896551735,False,
GPPL,gdf_only,,,,,,,,3299.0
GRANULES,stitched,4257.0,1579.0,2678.0,2023-12-29,0.0,-0.9748172217709072,False,
GRAPHITE,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,1.0717230008244094,False,
GRASIM,stitched,4258.0,1579.0,2679.0,2023-12-29,-0.3958216226344513,-0.15613101089430037,False,
GRAVITA,stitched,3837.0,1579.0,2258.0,2023-12-29,0.0,-0.41407867494822614,False,
GREAVESCOT,gdf_only,,,,,,,,3672.0
GROWW,no_data,,,,,,,,
GRSE,stitched,1879.0,1579.0,300.0,2023-12-29,0.0,-0.12572290671359898,False,
GRWRHITECH,gdf_only,,,,,,,,472.0
GSFC,gdf_only,,,,,,,,3673.0
GSPL,stitched,4257.0,1578.0,2679.0,2023-12-29,0.0,0.5011389521640153,False,
GUJGASLTD,stitched,2636.0,1579.0,1057.0,2023-12-29,0.0,7.219532729951572,False,
GVT&D,kite_only,,1579.0,,,,,,
HAL,stitched,2011.0,1579.0,432.0,2023-12-29,0.0,-0.027382256297914243,False,
HAPPSTMNDS,no_pre_history,,1400.0,,,0.0,,,
HAVELLS,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.3631306497720921,False,
HBLENGINE,kite_only,,1579.0,,,,,,
HCC,gdf_only,,,,,,,,3673.0
HCG,gdf_only,,,,,,,,1921.0
HCLTECH,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.6776975884527303,False,
HDBFS,no_data,,,,,,,,
HDFCAMC,stitched,1921.0,1579.0,342.0,2023-12-29,-1.8408736349453947,-0.6909100287249781,False,
HDFCBANK,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,0.5109661190157988,False,
HDFCLIFE,stitched,2100.0,1579.0,521.0,2023-12-29,0.0,-0.7347655938024,False,
HEG,stitched,4258.0,1579.0,2679.0,2023-12-29,0.0,-0.023452157598491397,False,
HEMIPROP,gdf_only,,,,,,,,791.0
HERITGFOOD,gdf_only,,,,,,,,3672.0
HEROMOTOCO,stitched,4258.0,1579.0,2679.0,2023-12-29,-4.804870094575497,-2.1591514398815903,False,
HEXT,kite_only,,300.0,,,,,,
