index,status,hist_rows,kite_rows,merged_rows,hist_rows_used,anchor_date,rescale_pct,warn
NIFTY_M150_QLTY50,hist_only,1067.0,,,,,,
NIFTY_MEDIA,stitched,,1579.0,3615.0,2036.0,2026-05-08,0.0,False
NIFTY_METAL,stitched,,1579.0,3615.0,2036.0,2026-05-08,0.0,False
NIFTY_MICROCAP250,hist_only,1067.0,,,,,,
NIFTY_MIDCAP_100,hist_only,1932.0,,,,,,
NIFTY_MIDCAP_150,stitched,,1579.0,1815.0,236.0,2026-05-08,0.0,False
NIFTY_MIDCAP_50,hist_only,4046.0,,,,,,
NIFTY_MIDSML_400,hist_only,1803.0,,,,,,
NIFTY_MIDSML_HLTH,hist_only,514.0,,,,,,
NIFTY_MID_LIQ_15,hist_only,2508.0,,,,,,
NIFTY_MID_SELECT,hist_only,1067.0,,,,,,
NIFTY_MNC,stitched,,1579.0,3783.0,2204.0,2026-05-08,0.0,False
NIFTY_MOBILITY,hist_only,344.0,,,,,,
NIFTY_MS_FIN_SERV,hist_only,344.0,,,,,,
NIFTY_MS_IND_CONS,hist_only,344.0,,,,,,
NIFTY_MS_IT_TELCM,hist_only,344.0,,,,,,
NIFTY_MULTI_INFRA,hist_only,514.0,,,,,,
NIFTY_MULTI_MFG,hist_only,514.0,,,,,,
NIFTY_MULTI_MQ_50,hist_only,344.0,,,,,,
NIFTY_NEW_CONSUMP,hist_only,344.0,,,,,,
NIFTY_NEXT_50,stitched,,1579.0,4053.0,2474.0,2026-05-08,0.0,False
NIFTY_NONCYC_CONS,hist_only,344.0,,,,,,
NIFTY_OIL_AND_GAS,no_pre_history,,1567.0,,,,0.0,
NIFTY_PHARMA,stitched,,1579.0,2427.0,848.0,2026-05-08,0.0,False
NIFTY_PSE,stitched,,1579.0,3783.0,2204.0,2026-05-08,0.0,False
NIFTY_PSU_BANK,stitched,,1579.0,3783.0,2204.0,2026-05-08,0.0,False
NIFTY_PVT_BANK,stitched,,1579.0,2515.0,936.0,2026-05-08,0.0,False
NIFTY_QLTY_LV_30,hist_only,344.0,,,,,,
NIFTY_RAILWAYSPSU,hist_only,59.0,,,,,,
NIFTY_REALTY,stitched,,1579.0,3918.0,2339.0,2026-05-08,0.0,False
NIFTY_RURAL,hist_only,344.0,,,,,,
NIFTY_SERV_SECTOR,stitched,,1579.0,3741.0,2162.0,2026-05-08,0.0,False
NIFTY_SHARIAH_25,hist_only,344.0,,,,,,
NIFTY_SME_EMERGE,hist_only,121.0,,,,,,
NIFTY_SML250_Q50,hist_only,344.0,,,,,,
NIFTY_SMLCAP_100,hist_only,1932.0,,,,,,
