date,top_n,in_panel,missing,missing_pct
2011-04-01,500,432,68,13.6
2011-05-02,500,432,68,13.6
2011-06-01,500,433,67,13.4
2011-07-01,500,432,68,13.6
2011-08-01,500,435,65,13.0
2011-09-02,500,446,54,10.8
2011-10-03,500,445,55,11.0
2011-11-01,500,449,51,10.2
2011-12-01,500,448,52,10.4
2012-01-02,500,446,54,10.8
2012-02-01,500,446,54,10.8
2012-03-01,500,449,51,10.2
2012-04-02,500,455,45,9.0
2012-05-02,500,454,46,9.2
2012-06-01,500,448,52,10.4
2012-07-02,500,451,49,9.8
2012-08-01,500,452,48,9.6
2012-09-03,500,450,50,10.0
2012-10-01,500,454,46,9.2
2012-11-01,500,452,48,9.6
2012-12-03,500,454,46,9.2
2013-01-01,500,462,38,7.6
2013-02-01,500,455,45,9.0
2013-03-01,500,458,42,8.4
2013-04-01,500,458,42,8.4
2013-05-02,500,462,38,7.6
2013-06-03,500,463,37,7.4
2013-07-01,500,465,35,7.0
2013-08-01,500,466,34,6.8
2013-09-02,500,464,36,7.2
2013-10-01,500,466,34,6.8
2013-11-01,500,467,33,6.6
2013-12-02,500,469,31,6.2
2014-01-01,500,465,35,7.0
2014-02-03,500,463,37,7.4
2014-03-03,500,465,35,7.0
2014-04-01,500,468,32,6.4
2014-05-02,500,470,30,6.0
2014-06-02,500,475,25,5.0
2014-07-01,500,471,29,5.8
2014-08-01,500,473,27,5.4
2014-09-01,500,475,25,5.0
2014-10-01,500,470,30,6.0
2014-11-03,500,471,29,5.8
2014-12-01,500,471,29,5.8
2015-01-01,500,466,34,6.8
2015-02-02,500,468,32,6.4
2015-03-02,500,467,33,6.6
2015-04-01,500,470,30,6.0
2015-05-04,500,470,30,6.0
2015-06-01,500,469,31,6.2
2015-07-01,500,457,43,8.6
2015-08-03,500,457,43,8.6
2015-09-01,500,457,43,8.6
2015-10-01,500,457,43,8.6
2015-11-02,500,459,41,8.2
2015-12-01,500,454,46,9.2
2016-01-01,500,447,53,10.6
2016-02-01,500,440,60,12.0
2016-03-01,500,448,52,10.4
2016-04-01,500,450,50,10.0
2016-05-02,500,450,50,10.0
2016-06-01,500,453,47,9.4
2016-07-01,500,455,45,9.0
2016-08-01,500,455,45,9.0
2016-09-01,500,453,47,9.4
2016-10-03,500,452,48,9.6
2016-11-01,500,448,52,10.4
2016-12-01,500,451,49,9.8
2017-01-02,500,449,51,10.2
2017-02-01,500,451,49,9.8
2017-03-01,500,449,51,10.2
2017-04-03,500,459,41,8.2
2017-05-02,500,461,39,7.8
2017-06-01,500,455,45,9.0
2017-07-03,500,456,44,8.8
2017-08-01,500,461,39,7.8
2017-09-01,500,463,37,7.4
2017-10-03,500,463,37,7.4
2017-11-01,500,460,40,8.0
2017-12-01,500,458,42,8.4
2018-01-01,500,455,45,9.0
2018-02-01,500,453,47,9.4
2018-03-01,500,455,45,9.0
2018-04-02,500,462,38,7.6
2018-05-02,500,466,34,6.8
2018-06-01,500,467,33,6.6
2018-07-02,500,468,32,6.4
2018-08-01,500,474,26,5.2
2018-09-03,500,475,25,5.0
2018-10-01,500,475,25,5.0
2018-11-01,500,473,27,5.4
2018-12-03,500,473,27,5.4
2019-01-01,500,478,22,4.4
2019-02-01,500,477,23,4.6
2019-03-01,500,477,23,4.6
2019-04-01,500,473,27,5.4
2019-05-02,500,477,23,4.6
2019-06-03,500,478,22,4.4
2019-07-01,500,475,25,5.0
2019-08-01,500,474,26,5.2
2019-09-03,500,480,20,4.0
2019-10-01,500,482,18,3.6
2019-11-01,500,481,19,3.8
2019-12-02,500,479,21,4.2
2020-01-01,500,480,20,4.0
2020-02-01,500,478,22,4.4
2020-03-02,500,482,18,3.6
2020-04-01,500,483,17,3.4
2020-05-04,500,484,16,3.2
2020-06-01,500,486,14,2.8
2020-07-01,500,483,17,3.4
2020-08-03,500,482,18,3.6
2020-09-01,500,479,21,4.2
2020-10-01,500,474,26,5.2
2020-11-02,500,475,25,5.0
2020-12-01,500,476,24,4.8
2021-01-01,500,482,18,3.6
2021-02-01,500,485,15,3.0
2021-03-01,500,486,14,2.8
2021-04-01,500,488,12,2.4
2021-05-03,500,487,13,2.6
2021-06-01,500,488,12,2.4
2021-07-01,500,486,14,2.8
2021-08-02,500,479,21,4.2
2021-09-01,500,474,26,5.2
2021-10-01,500,475,25,5.0
2021-11-01,500,478,22,4.4
2021-12-01,500,480,20,4.0
2022-01-03,500,485,15,3.0
2022-02-01,500,482,18,3.6
2022-03-02,500,481,19,3.8
2022-04-01,500,483,17,3.4
2022-05-02,500,483,17,3.4
2022-06-01,500,484,16,3.2
2022-07-01,500,486,14,2.8
2022-08-01,500,479,21,4.2
2022-09-01,500,480,20,4.0
2022-10-03,500,480,20,4.0
2022-11-01,500,482,18,3.6
2022-12-01,500,477,23,4.6
2023-01-02,500,478,22,4.4
2023-02-01,500,475,25,5.0
2023-03-01,500,473,27,5.4
2023-04-03,500,470,30,6.0
2023-05-02,500,475,25,5.0
2023-06-01,500,478,22,4.4
2023-07-03,500,478,22,4.4
2023-08-01,500,473,27,5.4
2023-09-01,500,468,32,6.4
2023-10-03,500,471,29,5.8
2023-11-01,500,470,30,6.0
2023-12-01,500,472,28,5.6
2024-01-01,500,471,29,5.8
2024-02-01,500,474,26,5.2
2024-03-01,500,467,33,6.6
2024-04-01,500,466,34,6.8
2024-05-02,500,464,36,7.2
2024-06-03,500,469,31,6.2
2024-07-01,500,473,27,5.4
2024-08-01,500,472,28,5.6
2024-09-02,500,474,26,5.2
2024-10-01,500,471,29,5.8
2024-11-01,500,464,36,7.2
2024-12-02,500,471,29,5.8
2025-01-01,500,471,29,5.8
2025-02-01,500,466,34,6.8
2025-03-03,500,462,38,7.6
2025-04-01,500,462,38,7.6
2025-05-02,500,464,36,7.2
2025-06-02,500,462,38,7.6
2025-07-01,500,465,35,7.0
2025-08-01,500,465,35,7.0
2025-09-01,500,454,46,9.2
2025-10-01,500,444,56,11.2
2025-11-03,500,442,58,11.6
2025-12-01,500,442,58,11.6
2026-01-01,500,450,50,10.0
2026-02-01,500,449,51,10.2
2026-03-02,500,454,46,9.2
2026-04-01,500,454,46,9.2
2026-05-04,500,452,48,9.6
2026-06-01,500,445,55,11.0
2026-07-01,500,442,58,11.6
2026-08-03,500,442,58,11.6
2026-09-01,500,437,63,12.6
