date,rank,symbol,score,score_6m,mom_6m,vol_6m
2023-11-09,5,JWL,3.526578305924264,3.526578305924264,1.8530594015185349,0.2
2023-11-09,6,JINDALSAW,3.34559285276882,3.34559285276882,1.7760663507109005,0.2
2023-11-09,7,TARIL,3.2568582687330974,3.2568582687330974,1.7383177570093458,0.2
2023-11-09,8,MAZDOCK,3.0053958451740033,3.0053958451740033,1.631343086859101,0.2
2023-11-09,9,KAYNES,2.811953612057121,2.811953612057121,1.5490507952796309,0.2
2023-11-09,10,ITI,2.7095917671377117,2.7095917671377117,1.5055050263283865,0.2
2023-11-09,11,NEULANDLAB,2.666173911770921,2.666173911770921,1.4870346294764212,0.2
2023-11-09,12,JPPOWER,2.656122415176728,2.656122415176728,1.4827586206896552,0.2
2023-11-09,13,RECLTD,2.5066482391632285,2.5066482391632285,1.4191707873716246,0.2
2023-11-16,1,SUZLON,7.925895738489949,7.925895738489949,3.8670520231213876,0.2
2023-11-16,2,BSE,6.711532268708585,6.711532268708585,3.332402234636872,0.2
2023-11-16,3,HBLENGINE,3.8499616162088826,3.8499616162088826,2.0725338491295937,0.2
2023-11-16,4,KALYANKJIL,3.5166925803833964,3.5166925803833964,1.925804946336911,0.2
2023-11-16,5,JINDALSAW,3.2475712706516324,3.2475712706516324,1.807318467695826,0.2
2023-11-16,6,TARIL,3.1865516458058614,3.1865516458058614,1.7804532577903687,0.2
2023-11-16,7,JWL,3.0189060519254,3.0189060519254,1.706643658326143,0.2
2023-11-16,8,JPPOWER,2.768714075249138,2.768714075249138,1.5964912280701755,0.2
2023-11-16,9,TITAGARH,2.729509962318217,2.729509962318217,1.5792307692307692,0.2
2023-11-16,10,DBREALTY,2.578121256325378,2.578121256325378,1.5125786163522013,0.2
2023-11-16,11,ITI,2.551148404638875,2.551148404638875,1.5007032348804499,0.2
2023-11-16,12,RECLTD,2.5085956061453323,2.5085956061453323,1.4819684447783623,0.2
2023-11-23,1,BSE,6.038396724793568,6.038396724793568,2.9971751412429377,0.2
2023-11-23,2,SUZLON,5.815160198001763,5.815160198001763,2.900497512437811,0.2
2023-11-23,3,HBLENGINE,4.143833634748944,4.143833634748944,2.176691729323308,0.2
2023-11-23,4,KALYANKJIL,3.966528546693918,3.966528546693918,2.0999057492931197,0.2
2023-11-23,5,TITAGARH,3.6592604345972317,3.6592604345972317,1.9668363412000622,0.2
2023-11-23,6,ANANDRATHI,3.620112293491996,3.620112293491996,1.9498823529411764,0.2
2023-11-23,7,DBREALTY,3.1177282486118054,3.1177282486118054,1.7323135755258123,0.2
2023-11-23,8,JWL,2.9809459886939647,2.9809459886939647,1.673076923076923,0.2
2023-11-23,9,MAZDOCK,2.877134044622749,2.877134044622749,1.6281188118811882,0.2
2023-11-23,10,RECLTD,2.828257853960131,2.828257853960131,1.606951871657754,0.2
2023-11-23,11,ITI,2.7599889287222825,2.7599889287222825,1.5773864689527342,0.2
2023-11-23,12,TARIL,2.688419601691191,2.688419601691191,1.5463917525773199,0.2
2023-11-23,13,GMDCLTD,2.629623594787079,2.629623594787079,1.5209288114879316,0.2
2023-11-30,1,BSE,7.218260856550815,7.218260856550815,3.5734072022160666,0.2
2023-11-30,2,SUZLON,5.521438951465345,5.521438951465345,2.8262910798122065,0.2
2023-11-30,3,HBLENGINE,4.596420236447097,4.596420236447097,2.4190023752969125,0.2
2023-11-30,4,KALYANKJIL,3.8399000868284023,3.8399000868284023,2.0859041290934983,0.2
2023-11-30,5,ANANDRATHI,3.698507792159999,3.698507792159999,2.0236486486486487,0.2
2023-11-30,6,TITAGARH,3.113847460344594,3.113847460344594,1.766220830961867,0.2
2023-11-30,7,JWL,2.805025987194199,2.805025987194199,1.6302457466918718,0.2
2023-11-30,8,ITI,2.637436265051769,2.637436265051769,1.5564554549785612,0.2
2023-11-30,9,GMDCLTD,2.5505548392878437,2.5505548392878437,1.5182012847965742,0.2
2023-11-30,10,MAZDOCK,2.5469842827011253,2.5469842827011253,1.5166291572893225,0.2
2023-12-07,1,BSE,7.135224238289598,7.135224238289598,3.3580901856763923,0.2
2023-12-07,2,SUZLON,4.341849886756267,4.341849886756267,2.2008196721311477,0.2
2023-12-07,3,ANANDRATHI,3.9187928933873715,3.9187928933873715,2.025550867323019,0.2
2023-12-07,4,HBLENGINE,3.615743115061559,3.615743115061559,1.9,0.2
2023-12-07,5,KALYANKJIL,3.60944256897853,3.60944256897853,1.8973897389738972,0.2
2023-12-07,6,ITI,3.292054437294317,3.292054437294317,1.765898617511521,0.2
2023-12-07,7,RECLTD,3.1329083507707645,3.1329083507707645,1.6999657885733837,0.2
2023-12-07,8,DBREALTY,2.924700655539908,2.924700655539908,1.6137071651090342,0.2
2023-12-07,9,INOXWIND,2.8275026282819744,2.8275026282819744,1.573438874230431,0.2
2023-12-07,10,TITAGARH,2.7722722874669077,2.7722722874669077,1.5505574280528909,0.2
2023-12-07,11,SJVN,2.7275597754802043,2.7275597754802043,1.5320334261838444,0.2
2023-12-07,12,GMDCLTD,2.616852408654954,2.616852408654954,1.4861683343143022,0.2
2023-12-07,13,JWL,2.5805488957589104,2.5805488957589104,1.4711281070745699,0.2
2023-12-14,1,BSE,6.721140511039039,6.721140511039039,3.1786666666666665,0.2
2023-12-14,2,HBLENGINE,3.822030398005958,3.822030398005958,1.977741407528642,0.2
2023-12-14,3,ANANDRATHI,3.733599180008273,3.733599180008273,1.9411097242709636,0.2
2023-12-14,4,INOXWIND,3.6799915021902057,3.6799915021902057,1.918903318903319,0.2
2023-12-14,5,RECLTD,3.523550757687452,3.523550757687452,1.8540994189799873,0.2
2023-12-14,6,KALYANKJIL,3.450989778433619,3.450989778433619,1.8240418118466897,0.2
2023-12-14,7,IRFC,3.4112396740075748,3.4112396740075748,1.8075757575757576,0.2
2023-12-14,8,ITI,3.407413445358057,3.407413445358057,1.805990783410138,0.2
2023-12-14,9,PFC,2.9209866209197553,2.9209866209197553,1.604493690366267,0.2
2023-12-14,10,GMDCLTD,2.8490498251274823,2.8490498251274823,1.5746946445349201,0.2
2023-12-14,11,DBREALTY,2.7758199375439663,2.7758199375439663,1.544359949302915,0.2
2023-12-14,12,SJVN,2.7678756185382563,2.7678756185382563,1.5410691003911343,0.2
2023-12-14,13,SUZLON,2.60478348463978,2.60478348463978,1.4735099337748347,0.2
2023-12-14,14,IFCI,2.523487694370937,2.523487694370937,1.4398340248962653,0.2
