symbol,effective_from,effective_to,note
TTML,2003-05-02,2010-10-01,Tata Teleservices (Maharashtra) Ltd. [current-list]
TVSMOTOR,2003-04-07,2008-06-23,TVS Motor Company Ltd. [current-list]
TVSMOTOR,2023-09-29,,TVS Motor Company Ltd. [press-release]
UBL,2013-04-01,2017-09-29,United Breweries Ltd. [current-list]
UBL,2019-03-29,2021-09-30,United Breweries Ltd. [press-release]
ULTRACEMCO,2007-04-04,,UltraTech Cement Ltd. [current-list]
UNIONBANK,2003-08-04,2015-09-28,Union Bank of India [current-list]
UNIONBANK,2024-09-30,2025-03-28,Union Bank of India [press-release]
UNIONBANK,2026-03-30,,Union Bank of India [press-release]
UNITDSPR,2007-12-12,2014-09-19,United Spirits Ltd. [current-list]
UNITDSPR,2015-03-27,,United Spirits Ltd. [current-list]
UNITECH,2007-10-05,2010-10-01,Unitech Ltd. [kite-dump]
UPL,2009-10-22,2024-03-28,UPL Ltd. [press-release]
VBL,2023-03-31,,Varun Beverages Ltd. [press-release]
VEDL,2009-03-27,2020-07-31,Sesa Sterlite Ltd. [backfill-map]
VEDL,2021-03-31,,Vedanta Ltd. [press-release]
VIJAYABANK,2005-01-03,2009-10-22,Vijaya Bank [norm-exact]
WIPRO,2003-03-18,2013-04-01,Wipro Ltd. [current-list]
WIPRO,2013-09-27,,Wipro Ltd. [current-list]
WOCKPHARMA,2003-03-18,2009-10-22,Wockhardt Ltd. [current-list]
YESBANK,2010-10-01,2020-03-19,Yes Bank Ltd. [current-list]
YESBANK,2021-03-31,2022-03-31,Yes Bank Ltd. [press-release]
ZEEL,2005-01-03,2009-03-27,Zee Telefilms Ltd [namechange-master]
ZEEL,2009-10-22,2010-10-07,Zee Entertainment Enterprises Ltd. [current-list]
ZEEL,2011-03-25,2020-09-25,Zee Entertainment Enterprises Ltd. [press-release]
ZYDUSLIFE,2004-03-01,2008-12-29,Cadila Healthcare Ltd. [survivor-rename]
ZYDUSLIFE,2016-04-01,2022-09-30,Cadila Healthcare Ltd. [survivor-rename]
ZYDUSLIFE,2023-09-29,,Zydus Lifesciences Ltd. [press-release]
