window,start,end,n_days,yrs,cagr_pct,vol_pct,sharpe,sharpe_ar,sortino,max_dd_pct,calmar,n_trades,rt_per_year,hit_rate_pct,avg_hold_days,cost_pct_pv_yr,portfolio,variant
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-10.82,7.61,-1.42,-1.03,-1.25,-24.37,-0.44,761,71.0,6.5,102.8,1.15,om25,ma_N100_exposure_25
COVID,2020-01-01,2020-12-31,252,1.0,38.12,15.76,2.42,2.14,2.78,-11.11,3.43,133,48.0,14.6,118.8,0.64,om25,ma_N100_exposure_25
POST2021,2021-01-01,2026-08-21,1398,5.63,31.08,16.87,1.84,1.72,2.05,-12.71,2.44,1189,58.2,22.3,130.3,0.9,om25,ma_N100_exposure_25
EVAL,2015-07-01,2026-08-21,3473,11.11,21.69,13.48,1.61,1.24,1.6,-24.37,0.89,2582,60.0,21.9,117.7,0.94,om25,ma_N100_exposure_25
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-10.16,8.85,-1.15,-0.82,-1.1,-25.54,-0.4,794,71.0,8.6,102.8,1.15,om25,ma_N100_exposure_50
COVID,2020-01-01,2020-12-31,252,1.0,31.79,16.81,1.89,1.73,2.16,-16.05,1.98,125,48.0,14.6,118.8,0.67,om25,ma_N100_exposure_50
POST2021,2021-01-01,2026-08-21,1398,5.63,33.89,17.99,1.88,1.74,2.13,-13.72,2.47,1193,58.2,26.5,130.3,0.89,om25,ma_N100_exposure_50
EVAL,2015-07-01,2026-08-21,3473,11.11,22.63,14.38,1.57,1.22,1.59,-26.31,0.86,2592,60.0,24.6,117.7,0.94,om25,ma_N100_exposure_50
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-9.45,10.32,-0.92,-0.63,-0.94,-26.98,-0.35,756,71.0,11.5,102.8,1.13,om25,ma_N100_exposure_75
COVID,2020-01-01,2020-12-31,252,1.0,25.12,18.32,1.37,1.32,1.51,-21.21,1.18,137,48.0,18.8,118.8,0.69,om25,ma_N100_exposure_75
POST2021,2021-01-01,2026-08-21,1398,5.63,35.86,19.15,1.87,1.72,2.15,-15.99,2.24,1178,58.2,33.8,130.3,0.87,om25,ma_N100_exposure_75
EVAL,2015-07-01,2026-08-21,3473,11.11,23.14,15.43,1.5,1.17,1.54,-29.01,0.8,2545,60.0,30.1,117.7,0.92,om25,ma_N100_exposure_75
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-8.64,11.58,-0.75,-0.5,-0.81,-28.12,-0.31,285,71.0,30.9,102.8,1.06,om25,ma_N100_entry_gate
COVID,2020-01-01,2020-12-31,252,1.0,17.9,19.95,0.9,0.93,0.93,-26.35,0.68,96,48.0,39.6,118.8,0.7,om25,ma_N100_entry_gate
POST2021,2021-01-01,2026-08-21,1398,5.63,36.87,20.06,1.84,1.69,2.13,-19.13,1.93,709,58.2,50.0,130.3,0.81,om25,ma_N100_entry_gate
EVAL,2015-07-01,2026-08-21,3473,11.11,23.07,16.34,1.41,1.11,1.45,-32.01,0.72,1435,60.0,45.0,117.7,0.87,om25,ma_N100_entry_gate
BEAR_2018,2018-01-15,2019-12-31,696,1.96,-6.29,8.91,-0.71,-0.47,-0.73,-21.74,-0.29,1252,88.4,15.0,97.3,1.11,om25,ma_N100_scaled_50
COVID,2020-01-01,2020-12-31,252,1.0,36.84,18.39,2.0,1.8,2.3,-20.15,1.83,409,70.0,25.7,126.8,0.77,om25,ma_N100_scaled_50
