stop_mode,stop_pct,trail,partial_r,timestop,n,meanR,medR,win,meanRet,hold,era1,era2,era3
structure,0.08,ma150,3.0,,1751,0.6521827428609203,-1.023,0.3083952027412907,0.04303733304781626,22.0,0.47410084586989926,0.5639116438057931,0.8122997684607646
fixed,0.08,ma150,3.0,,1751,0.64120093196743,-1.022999999999999,0.32838378069674473,0.051296074557394364,31.0,0.5285425394502846,0.5380812989142141,0.779313852822645
fixed,0.1,ma150,,40.0,1751,0.6384932497978196,-0.3729013601987676,0.44146202170188464,0.06384932497978196,40.0,0.4134548053666881,0.5492682846214842,0.8234460305529548
structure,0.08,ma150,3.0,40.0,1751,0.6000794514881332,-1.0229999999999997,0.3712164477441462,0.03928795504850062,22.0,0.34079935702790276,0.5626158012071187,0.7622897511551672
fixed,0.1,ma150,3.0,,1751,0.5988839729147561,-0.6905102689613044,0.35636778983438033,0.0598883972914756,42.0,0.4835572426343117,0.46261943100658903,0.7641791047279679
structure,0.1,ma150,3.0,40.0,1751,0.5887344499836262,-1.0179999999999998,0.3854940034266134,0.04058095947701252,26.0,0.3278654740672723,0.5401912972849272,0.7603886573330202
structure,0.08,ma150,2.0,,1751,0.5857198012823758,-1.0229999999999997,0.3580810965162764,0.03843639693754688,21.0,0.3892978185044169,0.5033292826552552,0.7506671518479471
structure,0.1,ma150,2.0,,1751,0.582226655022329,-1.0180000000000002,0.36379211878926326,0.0405397143988394,25.0,0.3732208806440745,0.49345376073399966,0.758601178134674
structure,0.06,ma150,3.0,,1751,0.5673034486231898,-1.0313333333333328,0.278697886921759,0.03172442313092082,15.0,0.21427116524450196,0.5759873653062717,0.7416774337776558
fixed,0.08,ma150,3.0,40.0,1751,0.5542706161787262,-0.9238041066663963,0.40434037692747,0.04434164929429807,31.0,0.3855715045956949,0.507609175689467,0.6771680099374402
fixed,0.06,ma150,3.0,,1751,0.5505738765279974,-1.0313333333333325,0.2832667047401485,0.03303443259167988,16.0,0.18034669997875502,0.5788297009889892,0.7185278525136164
