date,buf0_r12,buf0_dd,buf10_r12,buf10_dd,buf15_r12,buf15_dd,buf20_r12,buf20_dd,nifty100_r12
2023-03-21 00:00:00,165.71813573469493,-16.77309209658412,164.57275155904787,-17.47413798102151,158.44242432623412,-17.96638245046517,159.90967887234376,-14.080021940659027,33.75268848884829
2023-03-22 00:00:00,165.39448786019503,-15.80675832044025,164.2190321825853,-16.434413464181365,157.90370311631844,-16.922857723379657,159.54493880518527,-13.095883309896838,34.62017361478191
2023-03-23 00:00:00,175.06558337964648,-16.113212261066966,173.14809874332138,-16.52639663298826,166.579915593855,-17.001838643045485,168.36416329509842,-13.256192089692398,36.2598514578536
2023-03-24 00:00:00,184.215086332979,-17.998529276815745,181.7296833766394,-18.498606981110875,174.9982857187677,-18.88692384147005,176.99796730336078,-15.263957410082751,37.46925462517379
2023-03-27 00:00:00,189.80502732315395,-18.858779743169872,187.76176009370897,-19.427546962221733,180.13364320870699,-19.779134672775168,182.01377671793048,-16.159178797955754,37.31490328975091
2023-03-28 00:00:00,191.2503580320064,-19.067054573790067,189.54254921822277,-19.658846208507263,181.26650558453665,-19.94122818029531,183.25137662781725,-16.36130603860595,38.16919564046002
2023-03-29 00:00:00,184.18517527028396,-16.502651921290113,182.25278619429312,-16.873365917236217,174.58376949480723,-17.199382150939158,176.64241334960056,-13.520152338127955,37.371328255916026
2023-03-31 00:00:00,180.63132994267468,-15.10550427260613,178.7735899281284,-15.48819215061502,171.99478668431522,-15.866168632951993,174.04531377869085,-12.230461423033711,36.041521806803715
2023-04-03 00:00:00,179.59881542438865,-13.935738018716826,174.86032675544428,-13.948617181428203,167.6143112164325,-14.063271844738601,169.372226637856,-10.143142231564916,35.55436218232486
2023-04-05 00:00:00,176.26627870999042,-13.275037154517777,172.90355261174938,-13.419455686535475,165.43688477823076,-13.474905970375461,167.42912227186991,-9.705487478311758,35.11435223423574
2023-04-06 00:00:00,173.88637586246358,-12.905949426585995,170.40641771288216,-13.110373858632752,162.18991144977886,-13.058766002354016,162.8831803198113,-8.851833697172683,33.53641904947846
2023-04-10 00:00:00,169.89612760693728,-13.40198961383281,168.12397677238255,-13.579163091614898,160.5336668437304,-13.632844920965614,161.04017556808813,-9.505108634608394,31.644532078434963
2023-04-11 00:00:00,170.65413775729388,-12.768232111779144,168.47486082686126,-12.909794910637872,161.10985080429802,-13.029988707193695,161.03591499556234,-8.744442945738651,30.383448873483545
2023-04-12 00:00:00,170.82824846181964,-12.780710183118693,168.1862463887167,-12.838997954723663,160.43974596748228,-12.717980711043609,161.05742989874958,-8.53444348896989,29.008504047790584
2023-04-13 00:00:00,171.68641971473392,-11.687793599006902,165.83380621357045,-11.563680842566693,158.285377019406,-11.489553532589447,158.24436894027346,-7.20227166175853,29.626342843695674
2023-04-17 00:00:00,174.49148598041103,-10.958352328261666,167.68219538147457,-10.653220150664765,160.0332482067238,-10.672558224259621,159.84627080239574,-6.260910261463925,31.552801757921056
2023-04-18 00:00:00,177.95036505565406,-10.80131238916997,171.21367900436226,-10.543883218042327,162.96583272426724,-10.678332413327695,163.45928070816402,-6.415045070717895,32.00958263019786
2023-04-19 00:00:00,177.1475731002765,-10.273874987019838,170.9106311246398,-10.145191622445083,162.54434346001423,-10.210633391349544,162.70581540051262,-5.867466478466222,32.72530928735724
2023-04-20 00:00:00,177.70797497468914,-9.759759172100468,171.5043822335714,-9.699881678118405,162.971054044892,-9.72666739442445,162.68275200000875,-4.989169385088688,33.61970463663777
2023-04-21 00:00:00,180.93842116251287,-10.41294730979283,175.69807992927431,-10.359282175711948,166.05967647969317,-10.335669454143536,166.32552621890673,-5.608259978073649,33.0952005843514
2023-04-24 00:00:00,175.9121907642423,-8.136061466844069,168.58815254459492,-8.023625222455665,162.27225680973595,-8.09523117374541,163.6182660146162,-3.610848312313064,33.47338935574229
2023-04-25 00:00:00,169.47866260644338,-6.854988498276282,162.53165028705095,-6.684662216646641,157.01069525145837,-6.910304280998214,159.31899666449968,-2.625250622322539,33.161553518313866
2023-04-26 00:00:00,173.9783022030201,-6.7661945032914,165.95993389905766,-6.563159016467324,160.53870276503596,-6.851383510379971,162.67827066352893,-2.622429746459698,33.412106735125846
2023-04-27 00:00:00,170.66916036277777,-6.530939692578109,164.0011771045544,-6.415049330046873,158.7440362708745,-6.705001809593214,160.5322978997545,-2.461780770055333,31.80843238002362
2023-04-28 00:00:00,161.21165293498305,-4.87825269687725,156.0773851015633,-4.822652014228968,150.5735529304877,-5.265442871139491,153.49988686311696,-1.0105734835209934,30.12631290860397
