symbol,company_name
DISHMAN,Dishman Pharmaceuticals & Chemicals Ltd.
DISHTV,Dish TV India Ltd.
DONEAR,Donear Industries Ltd.
DRDATSONS,Dr. Datsons Labs Ltd.
DREDGECORP,Dredging Corporation of India Ltd.
DSKULKARNI,D.S. Kulkarni Developers Ltd.
DWARKESH,Dwarikesh Sugar Industrial Ltd.
DYNAMATECH,Dynamatic Technologies Ltd.
EASEMYTRIP,Easy Trip Planners Ltd.
EDELWEISS,Edelweiss Financial Services Ltd.
EDUCOMP,Educomp Solutions Ltd.
EKC,Everest Kanto Cylinder Ltd.
ELDERPHARM,Elder Pharmaceuticals Ltd.
ELECTCAST,Electrosteel Castings Ltd.
ELGIRUBCO,Elgi Rubber Company Ltd.
EMBASSY,Embassy Office Parks REIT
EMBDL,Indiabulls Real Estate Ltd.
ENIL,Entertainment Network India Ltd.
EPIGRAL,Meghmani Finechem Ltd.
EPL,Essel Propack Ltd.
EQUITAS,Equitas Holdings Ltd.
EQUITASBNK,Equitas Small Finance Bank Ltd.
ERAINFRA,Era Infra Engineering Ltd.
EROSMEDIA,Eros Intl Media Ltd.
ESABINDIA,ESAB India Ltd.
ESSAROIL,Essar Oil Ltd.
ESSARPORTS,Essar Ports Ltd.
ESSDEE,Ess Dee Aluminium Ltd.
ESTL,Essar Steel Ltd.
EVEREADY,Eveready Industries India Ltd.
EVERESTIND,Everest Industries Ltd.
EXCELCROP,Excel Crop Care Ltd.
FCONSUMER,Future Consumer Enterprise Ltd.
FDC,FDC Ltd.
FEL,Future Retail Ltd.
FGP,FGP Ltd.
FINEORG,Fine Organic Industries Ltd.
FINPIPE,Finolex Industries Ltd.
FIRSTLEASE,First Leasing Co. of India Ltd.
FKONCO,Fresenius Kabi Oncology Ltd.
FLEXCHEM,FCL Technologies & Products Ltd.
FLEXITUFF,Flexituff International Ltd.
FLFL,Future Lifestyle Fashions Ltd.
FMGOETZE,Federal-Mogul Goetze (India) Ltd.
FOSECOIND,Foseco India Ltd.
FRACTAL,Fractal Analytics Ltd.
FRETAIL,Future Retail Ltd.
FSS,Flextronics Software Systems Ltd.
FUTUREVENT,Future Consumer Enterprise Ltd.
GAEL,Gujarat Ambuja Exports Ltd.
GALAXYSURF,Galaxy Surfactants Ltd.
GAMMONIND,Gammon India Ltd.
GANESHBE,Ganesh Benzoplast Ltd.
GARDENSILK,Garden Silk Mills Ltd.
GARFIBRES,Garware Technical Fibres Ltd.
GAYAPROJ,Gayatri Projects Ltd.
GDL,Gateway Distriparks Ltd.
GEODESIC,Geodesic Ltd.
GEOJITFSL,Geojit BNP Paribas Financial Services Ltd.
GEOMETRIC,Geometric Ltd.
GEORGWILIM,Williamson Tea Assam Ltd.
GFLLIMITED,Gujarat Fluorochemicals Ltd.
GHCL,GHCL Ltd.
GIPCL,Gujarat Industries Power Co. Ltd.
GITANJALI,Gitanjali Gems Ltd.
GKB,Brabourne Enterprises Ltd.
GLFL,Gujarat Lease Financing Ltd.
GLOBOFFS,Global Offshore Services Ltd.
GML,ARSS Infrastructure Projects Ltd.
GMMPFAUDLR,GMM Pfaudler Ltd.
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.
GOCOLORS,Go Fashion (India) Ltd.
GODREJAGRO,Godrej Agrovet Ltd.
GOKEX,Gokaldas Exports Ltd.
GOLDENTOBC,Golden Tobacco Ltd.
GOODRICKE,Goodricke Group Ltd.
GOODYEAR,Goodyear India Ltd.
GPPL,Gujarat Pipavav Port Ltd.
GREAVESCOT,Greaves Cotton Ltd.
GREENPANEL,Greenpanel Industries Ltd.
GREENPLY,Greenply Industries Ltd.
GRINDWELL,Grindwell Norton Ltd.
GRINFRA,G R Infraprojects Ltd.
GRUH,Gruh Finance Ltd.
GSFC,Gujarat State Fertilizers & Chemicals Ltd.
GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.
GTL,GTL Ltd.
GTLINFRA,GTL Infrastructure Ltd.
GTNINDS,GTN Industries Ltd.
GTOFFSHORE,GOL Offshore Ltd.
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.
GUJENERGY,Gujarat Gas Ltd.
GUJNRECOKE,Gujarat NRE Coke Ltd.
GUJRATGAS,Gujarat Gas Co. Ltd.
GULFOILLUB,Gulf Oil Lubricants India Ltd.
GVKPIL,GVK Power & Infrastructures Ltd.
GVPIL,Alstom India Ltd.
HAPPSTMNDS,Happiest Minds Technologies Ltd.
HAPPYFORGE,Happy Forgings Ltd.
HARRMALAYA,Harrisons Malayalam Ltd.
HATHWAY,Hathway Cable & Datacom Ltd.
HATSUN,Hatsun Agro Product Ltd.
HCC,Hindustan Construction Co. Ltd.
HCL-INSYS,HCL Infosystems Ltd.
HDFC,Housing Development Finance Corporation Ltd.
HDIL,Housing Development and Infrastructure Ltd.
HEIDELBERG,HeidelbergCement India Ltd.
HEMIPROP,Hemisphere Properties India Ltd.
HERITGFOOD,Heritage Foods Ltd.
HEXAWARE,Hexaware Technologies Ltd.
HGS,Hinduja Global Solutions Ltd.
HIKAL,Hikal Ltd.
HIMATSEIDE,Himatsingka Seide Ltd.
HINDMOTORS,Hindustan Motors Ltd.
HINDOILEXP,Hindustan Oil Exploration Co. Ltd.
HINVDIR,HSBC InvestDirect (India) Ltd.
HLEGLAS,HLE Glascoat Ltd.
HLVLTD,Hotel Leela Venture Ltd.
HMT,HMT Ltd.
HMVL,Hindustan Media Vent Ltd.
HOCL,Hindustan Organic Chemicals Ltd.
HONDAPOWER,Honda SIEL Power Products Ltd.
HTMEDIA,HT Media Ltd.
HTMT,Hinduja Ventures Ltd.
HUBTOWN,Hubtown Ltd.
HUHTAMAKI,Paper Products Ltd.
IBP,IBP Co. Ltd.
IBULLSLTD,Indiabulls Integrated Services Ltd.
ICIL,Indo Count Industries Ltd.
ICRA,ICRA Ltd.
ICSA,ICSA (India) Ltd.
IDFC,IDFC Ltd.
IFBIND,IFB Industries Ltd.
IGARASHI,Igarashi Motors India Ltd.
IGPL,I G Petrochemicals Ltd.
IGS,iGate Global Solutions Ltd.
IL&FSENGG,IL&FS Engineering and Construction Company Ltd.
IL&FSTRANS,IL&FS Transportation Networks Ltd.
IMAGICAA,Adlabs Entertainment Ltd.
IMFA,Indian Metals & Ferro Alloys Ltd.
INDGYPSUM,India Gypsum Ltd.
INDIABULLS,Indiabulls Financial Services Ltd.
INDIAGLYCO,India Glycols Ltd.
INDIANCARD,Indian Card Clothing Co. Ltd.
INDIGOPNTS,Indigo Paints Ltd.
INDNIPPON,India Nippon Electricals Ltd.
INDOCO,Indoco Remedies Ltd.
INDORAMA,Indo Rama Synthetics Ltd.
INDOSTAR,IndoStar Capital Finance Ltd.
INDRAMEDCO,Indraprastha Medical Corporation Ltd.
INDSWFTLAB,Ind-Swift Laboratories Ltd.
INFINITE,Infinite Computer Solutions (India) Ltd
INFOMEDIA,Infomedia Press Ltd.
INGERRAND,Ingersoll Rand (India) Ltd.
INGVYSYABK,ING Vysya Bank Ltd.
INNOIND,Innoventive Industries Ltd.
INOXLEISUR,Inox Leisure Ltd.
IOLCP,IOL Chem and Pharma Ltd.
IONEXCHANG,Ion Exchange (India) Ltd.
IPCL,Indian Petrochemicals Corporation Ltd.
IPRINGLTD,IP Rings Ltd.
ISEC,ICICI Securities Ltd.
ITDC,India Tourism Development Corporation Ltd.
ITHL,International Travel House Ltd.
IVRCLINFRA,IVRCL Ltd.
JAGRAN,Jagran Prakashan Ltd.
JAGSNPHARM,Jagsonpal Pharmaceuticals Ltd.
JAIBALAJI,Jai Balaji Industries Ltd.
JAICORPLTD,Jai Corp Ltd.
JAINSTUDIO,Jain Studios Ltd.
JAMNAAUTO,Jamna Auto Industries Ltd.
JAYSREETEA,Jay Shree Tea & Industries Ltd.
JBFIND,JBF Industries Ltd.
JETAIRWAYS,Jet Airways (India) Ltd.
JINDALIRON,Jindal Iron & Steel Co. Ltd.
JINDALPHOT,Jindal Photo Ltd.
JINDALPOLY,Jindal Poly Films Ltd.
JINDWORLD,Jindal Worldwide Ltd.
JISLJALEQS,Jain Irrigation Systems Ltd.
JKIL,J.Kumar Infraprojects Ltd.
JKLAKSHMI,JK Lakshmi Cement Ltd.
JKPAPER,JK Paper Ltd.
JMTAUTOLTD,JMT Auto Ltd.
JPASSOCIAT,Jaiprakash Associates Ltd.
JPINFRATEC,Jaypee Infratech Ltd.
JSLHISAR,Jindal Stainless (Hisar) Ltd.
JSWHL,JSW Holdings Ltd.
JSWISPAT,JSW ISPAT Steel Ltd.
JSWISPL,Monnet Ispat and Energy Ltd.
JTEKTINDIA,Sona Koyo Steering Systems Ltd.
JUSTDIAL,Justdial Ltd.
JYOTHYLAB,Jyothy Laboratories Ltd.
JYOTISTRUC,Jyoti Structures Ltd.
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.
KANSAINER,Kansai Nerolac Paints Ltd.
KCP,KCP Ltd.
KEMROCK,Kemrock Industries and Exports Ltd.
KENNAMET,Kennametal India Ltd.
KESORAMIND,Kesoram Industries Ltd.
KGL,Karuturi Global Ltd.
KINETICENG,Kinetic Engineering Ltd.
KIOCL,KIOCL Ltd.
KIRLFER,Kirloskar Ferrous Industries Ltd.
KIRLOSBROS,Kirloskar Brothers Ltd.
KIRLOSIND,Kirloskar Industries Ltd.
KITEX,Kitex Garments Ltd.
KITPLYIND,Kitply Industries Ltd.
KKCL,Indo Gulf Fertilisers Ltd.
KNRCON,Godavari Fertilisers & Chemicals Ltd.
KOHINOOR,Kohinoor Foods Ltd.
KOLTEPATIL,Kolte-Patil Developers Ltd.
KOPDRUGS,KDL Biotech Ltd.
KOPRAN,Kopran Ltd.
KOTHARIPRO,Kothari Products Ltd.
KOUTONS,Koutons Retail India Ltd.
KRBL,KRBL Ltd.
KSB,KSB Pumps Ltd.
KSCL,Kaveri Seed Company Ltd.
KSK,KSK Energy Ventures Ltd
KSL,Kalyani Steels Ltd.
KSOILS,K.S. Oils Ltd.
KTKBANK,Karnataka Bank Ltd.
KWALITY,Kwality Ltd.
LAKSHMIEFL,Lakshmi Energy & Foods Ltd.
LAKSHVILAS,Lakshmi Vilas Bank Ltd.
LAOPALA,La Opala RG Ltd.
LGBBROSLTD,LG Balakrishnan & Bros Ltd.
LITL,Lanco Infratech Ltd.
LMW,Lakshmi Machine Works Ltd.
LOVABLE,Lovable Lingerie Ltd.
LTM,Larsen & Toubro Infotech Ltd.
LUMAXIND,Lumax Industries Ltd.
LUXIND,Lux Industries Ltd.
LXCHEM,Laxmi Organic Industries Ltd.
MAARSOFTW,Maars Software International Ltd.
MADRASFERT,Madras Fertilizers Ltd.
MAFATIND,Mafatlal Industries Ltd.
MAHINDUGIN,Mahindra Ugine Steel Co. Ltd.
MAHLIFE,Mahindra Lifespace Developers Ltd.
MAHLOG,Mahindra Logistics Ltd.
MAHSCOOTER,Maharashtra Scooters Ltd.
MAHSEAMLES,Maharashtra Seamless Ltd.
MANALIPETC,Manali Petrochemicals Ltd.
MANDHANA,Mandhana Industries Ltd.
MANGCHEFER,Mangalore Chemicals & Fertilizers Ltd.
MANGLMCEM,Mangalam Cement Ltd.
MANINDS,Man Industries (India) Ltd.
MANINFRA,Man Infraconstruction Ltd.
MANPASAND,Manpasand Beverages Ltd.
MANYAVAR,Vedant Fashions Ltd.
MARALOVER,Maral Overseas Ltd.
MARKSANS,Marksans Pharma Ltd.
MASFIN,MAS Financial Services Ltd.
MASTEK,Mastek Ltd.
MATRIXLABS,Matrix Laboratories Ltd.
MAXIND,Max India Ltd.
MAYURUNIQ,Mayur Uniquoters Ltd.
MBLINFRA,MBL Infrastructures Ltd.
MCLEODRUSS,McLeod Russel India Ltd.
MEDPLUS,Medplus Health Services Ltd.
MELSTAR,Melstar Information Technologies Ltd.
MERCATOR,Mercator Ltd.
METALFORGE,Metalyst Forgings Ltd.
METROBRAND,Metro Brands Ltd.
METROPOLIS,Metropolis Healthcare Ltd.
MHRIL,Mahindra Holidays & Resorts India Ltd.
MICRO,Micro Inks Ltd.
MIDHANI,Mishra Dhatu Nigam Ltd.
MINDTREE,MindTree Ltd.
MIRZAINT,Mirza International Ltd.
MODIRUBBER,Modi Rubber Ltd.
MODTHREAD,Modern Threads (India) Ltd.
MOIL,MOIL Ltd.
MONSANTO,Monsanto India Ltd.
MOREPENLAB,Morepen Laboratories Ltd.
MOSERBAER,Moser Baer India Ltd.
MPSLTD,MPS Ltd.
MTARTECH,MTAR Technologies Ltd.
MTEDUCARE,MT Educare Ltd.
MTNL,Mahanagar Telephone Nigam Ltd.
MUKTAARTS,Mukta Arts Ltd
MUNJALAU,Munjal Auto Industries Ltd.
MUNJALSHOW,Munjal Showa Ltd.
MVL,MVL Ltd.
MYSOREBANK,State Bank of Mysore
NAGARFERT,Nagarjuna Fertilizers & Chemicals Ltd.
NAHARCAP,Rane Brake Linings Ltd. -old
NAHARPOLY,Nahar Poly Films Ltd.
NAHARSPING,Nahar Spinning Mills Ltd.
NARMDCHEMA,Narmada Chematur Petrochemicals Ltd.
NAVKARCORP,Navkar Corporation Ltd.
NAVNETEDUL,Navneet Education Ltd.
NAZARA,Nazara Technologies Ltd.
NDTV,NDTV Ltd.
NELCO,NELCO Ltd.
NEPCMICON,NEPC India Ltd
NESCO,NESCO Ltd.
NETWORK18,Network18 Media & Investments Ltd.
NEXTMEDIA,Next Mediaworks Ltd.
NFL,National Fertilizers Ltd.
NIITLTD,NIIT Ltd.
NILKAMAL,Nilkamal Ltd.
NIRMA,Nirma Ltd.
NITINFIRE,Nitin Fire Protection Industries Ltd.
NOCIL,NOCIL Ltd.
NOIDATOLL,Noida-Toll Bridge Co. Ltd.
NOVAPETRO,GSL Nova Petrochemicals Ltd.
NOVARTIND,Novartis India Ltd.
NPL,National Peroxide Ltd.
NRBBEARING,NRB Bearings Ltd.
OCL,OCL India Ltd.
OENCONNECT,FCI OEN Connectors Ltd.
OILCOUNTUB,Oil Country Tubular Ltd.
OMAXAUTO,Omax Autos Ltd.
OMAXE,Omaxe Ltd.
ONELIFECAP,Onelife Capital Advisors Ltd.
ONIDA,Mirc Electronics Ltd.
ONWARDTEC,Onward Technologies Ltd.
OPTOCIRCUI,Opto Circuits (I) Ltd.
ORBITCORP,Orbit Corporation Ltd.
ORCHIDPHAR,Orchid Chemicals & Pharmaceuticals Ltd.
ORIENTBANK,Oriental Bank of Commerce
ORIENTCEM,Orient Cement Ltd.
ORIENTELEC,Orient Electric Ltd.
ORIENTHOT,Oriental Hotels Ltd.
ORIENTINFO,Orient Information Technologies Ltd.
ORIENTPPR,Orient Paper & Industries Ltd.
ORISSAMINE,Orissa Min Dev Co Ltd.
OSWALAGRO,Oswal Agro Mills Ltd.
OSWALGREEN,Oswal Chemicals & Fertilizers Ltd.
PAISALO,S.E. Investments Ltd.
PANACEABIO,Panacea Biotec Ltd.
PARAGMILK,Parag Milk Foods Ltd.
PARSVNATH,Parsvnath Developer Ltd.
PATELENG,Patel Engineering Ltd.
PATNI,Patni Computer Systems Ltd.
PATSPINLTD,Patspin India Ltd.
PCJEWELLER,PC Jeweller Ltd.
PEL,Piramal Enterprises Ltd.
PENIND,Pennar Industries Ltd.
PENINLAND,Peninsula Land Ltd.
PENTACOMMU,Pentasoft Technologies Ltd.
PENTSFWARE,Pentamedia Graphics Ltd.
PFS,PTC India Fin Serv Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
PGHL,Merck Ltd.
PGIL,Pearl Global Industries Ltd.
PHARMACIA,Pharmacia Healthcare Ltd.
PHOENXINTL,Phoenix International Ltd.
PNBGILTS,PNB Gilts Ltd.
PNC,Pritish Nandy Communications Ltd.
PNCINFRA,PNC Infratech Ltd.
POLARIS,Polaris Financial Technology Ltd.
POLYPLEX,Polyplex Corporation Ltd.
PRAJIND,Praj Industries Ltd.
PRAKASH,Prakash Industries Ltd.
PREMIER,Premier Ltd.
PRICOLLTD,Pricol Ltd.
PRIMESECU,Prime Securities Ltd.
PRINCEPIPE,Prince Pipes and Fittings Ltd.
PRIVISCL,Privi Speciality Chemicals Ltd.
PROVOGE,Provogue (India) Ltd.
PRSMJOHNSN,Prism Cement Ltd.
PSL,PSL Ltd.
PSPPROJECT,PSP Projects Ltd.
PTC,PTC India Ltd.
PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd.
PUNJABTRAC,Punjab Tractors Ltd.
PUNJCOMMU,Punjab Communications Ltd.
PUNJLLOYD,Punj Lloyd Ltd.
PURVA,Puravankara Projects Ltd.
PVP,PVP Ventures Ltd.
QUESS,Quess Corp Ltd.
RAIN,Rain Industries Ltd
RAINCALCIN,Rain Calcining Ltd.
RAJESHEXPO,Rajesh Exports Ltd.
RAJTV,Raj Television Network Ltd.
RALLIS,Rallis India Ltd.
RAMANEWS,Shree Rama Newsprint Ltd.
RAMCOIND,Ramco Industries Ltd.
RAMCOSYS,Ramco Systems Ltd.
RAMKY,Ramky Infra Ltd.
RANBAXY,Ranbaxy Laboratories Ltd.
RASOYPR,Rasoya Proteins Ltd.
RATNAMANI,Ratnamani Metals & Tubes Ltd.
RAYMOND,Raymond Ltd.
RAYMONDLSL,Raymond Lifestyle Ltd.
RBA,Burger King India Ltd.
RCF,Rashtriya Chemicals & Fertilizers Ltd.
RCOM,Reliance Communications Ltd.
REGENCERAM,Regency Ceramics Ltd.
REIAGRO,Rei Agro Ltd.
REIAGROLTD,Rei Agro Ltd.
RELAXO,Relaxo Footwears Ltd.
RELCAPITAL,Reliance Capital Ltd.
RELIGARE,Religare Enterprises Ltd.
RELINFRA,Reliance Infrastructure Ltd.
RELMEDIA,Reliance MediaWorks Ltd.
RENUKA,Shree Renuka Sugars Ltd.
REPCOHOME,Repco Home Finance Ltd.
RESPONIND,Responsive Industries Ltd.
REVL,Rane Engine Valves Ltd. -old
RHFL,Reliance Home Finance Ltd.
RICOAUTO,Rico Auto Industries Ltd.
RIIL,Reliance Industrial Infrastructure Ltd.
RNAVAL,Pipavav Defence and Offshore Engineering Company Ltd.
RNRL,Reliance Natural Resources Ltd.
ROLTA,Rolta India Ltd.
ROSSARI,Rossari Biotech Ltd.
ROUTE,Route Mobile Ltd.
RPL,Reliance Petroleum Ltd.
RSSOFTWARE,R. S. Software (India) Ltd.
RSWM,RSWM Ltd.
RTNINDIA,RattanIndia Enterprises Ltd.
RTNPOWER,Indiabulls Power Ltd.
RUBICON,Rubicon Research Ltd.
RUCHISOYA,Ruchi Soya Industries Ltd.
RUPA,Rupa & Company Ltd.
RUSTOMJEE,Keystone Realtors Ltd.
SADBHAV,Sadbhav Engineering Ltd
SADBHIN,Sadbhav Infrastructure Project Ltd.
SAFARI,Safari Industries (India) Ltd.
SAKHTISUG,Sakthi Sugars Ltd.
SALORAINTL,Salora International Ltd.
SAMTEL,Samtel Color Ltd.
SANDESH,Sandesh Ltd.
SANOFI,Sanofi India Ltd.
SANSERA,Sansera Engineering Ltd.
SATYAMCOMP,Satyam Computer Services Ltd.
SAURASHCEM,Saurashtra Cement Ltd.
SB&TINTL,S.B.& T. International Ltd.
SBBJ,State Bank of Bikaner & Jaipur Ltd.
SBT,State Bank of Travancore
SEAMECLTD,SEAMEC Ltd.
SECURKLOUD,8K Miles Soft Services Ltd.
SESHAPAPER,Seshasayee Paper & Boards Ltd.
SFCL,Star Ferro & Cement Ltd.
SFL,Sheela Foam Ltd.
SHANKARA,Shankara Building Products Ltd.
SHANTIGEAR,Shanthi Gears Ltd.
SHARDACROP,Sharda Cropchem Ltd.
SHASUNPHAR,Shasun Pharmaceuticals Ltd.
SHILPAMED,Shilpa Medicare Ltd.
SHILPI,Shilpi Cable Tech Ltd.
SHIRPUR-G,Shirpur Gold Refinery Ltd.
SHK,S H Kelkar and Company Ltd.
SHLAKSHMI,Shri Lakshmi Cotsyn Ltd.
SHOPERSTOP,Shoppers Stop Ltd.
SHREEASHTA,Shree Ashtavinayak Cine Vision Ltd.
SHREERAMA,Shree Rama Multi Tech Ltd.
SHRENUJ,Shrenuj & Co. Ltd.
SHRIPISTON,SPR Auto Technologies Ltd.
SHRIRAMCIT,Shriram City Union Finance Ltd.
SHYAMTEL,Shyam Telecom Ltd.
SIMPLEXINF,Simplex Infrastructures Ltd.
SINTEX,Sintex Industries Ltd.
SIRPAPER,Sirpur Paper Mills Ltd.
SIS,Security and Intelligence Services (India) Ltd.
SITINET,Siti Cable Network Ltd.
SKFINDIA,SKF India Ltd.
SKUMARSYNF,S. Kumars Nationwide Ltd.
SMARTLINK,Smartlink Network Systems Ltd.
SMLMAH,SML Isuzu Ltd.
SNOWMAN,Snowman Logistics Ltd.
SOLARA,Solara Active Pharma Sciences Ltd.
SOMANYCERA,Somany Ceramics Ltd.
SOUTHBANK,South Indian Bank Ltd.
SPANDANA,Spandana Sphoorty Financial Ltd.
SPARC,Sun Pharma Advanced Research Company Ltd.
SPICEJET,Spicejet Ltd.
SPSL,Shree Precoated Steels Ltd.
SPTL,Sintex Plastics Technology Ltd.
SQRDSFWARE,DSQ Software Ltd.
SREINFRA,SREI Infrastructure Finance Ltd.
SRIADIKARI,Sri Adhikari Brothers Television Network Ltd.
SRIPIPES,Srikalahasthi Pipes Ltd.
STAR,Strides Arcolab Ltd.
STARCEMENT,Star Cement Ltd.
STCINDIA,State Trading Corporation of India Ltd.
STER,Sterlite Industries (India) Ltd.
STERLINBIO,Sterling Biotech Ltd
STLTECH,Sterlite Technologies Ltd.
STYRENIX,Styrolution ABS (India) Ltd.
SUBROS,Subros Ltd.
SUDARCOLOR,Clariant Chemicals (India) Ltd.
SUDARSCHEM,Sudarshan Chemical Industries Ltd.
