ext,slope,above_low,near_high,spread,lead,avoid,ext_n,lead_n,mono,era_min,ext_minus_lead
0.15,21,0.4,0.3,0.06762299773164833,0.040149944953679434,-0.027473052777968892,10284,31013,True,0.02147581530941509,0.031022405808904988
0.15,42,0.2,0.2,0.0678412811872073,0.0403682284092384,-0.027473052777968892,9879,32245,True,0.019155190312266337,0.03509227417537539
0.15,42,0.2,0.25,0.06618902246109452,0.03871596968312563,-0.027473052777968892,10017,33346,True,0.0178113758164425,0.034989434021506324
0.15,42,0.2,0.3,0.06540704761453042,0.03793399483656153,-0.027473052777968892,10072,33710,True,0.017661550758797863,0.0342202137397473
0.15,42,0.3,0.2,0.06867007672596445,0.041197023947995556,-0.027473052777968892,9879,31345,True,0.020703171901191097,0.03422777854969526
0.15,42,0.3,0.25,0.0669482801446813,0.0394752273667124,-0.027473052777968892,10017,32441,True,0.01925774442812561,0.034210884266107515
0.15,42,0.3,0.3,0.06616237587766566,0.03868932309969676,-0.027473052777968892,10072,32801,True,0.019111704757976758,0.033441193383801665
0.15,42,0.4,0.2,0.07093954322902236,0.043466490451053476,-0.027473052777968892,9864,29327,True,0.024068426593097405,0.03209545155663685
0.15,42,0.4,0.25,0.06901907071206839,0.0415460179340995,-0.027473052777968892,10002,30399,True,0.022399198245999882,0.03232735251913739
0.15,42,0.4,0.3,0.06820812733201648,0.04073507455404758,-0.027473052777968892,10057,30752,True,0.02227400141797363,0.03157192578208091
0.15,63,0.2,0.2,0.0683510852270443,0.04087803244907541,-0.027473052777968892,9655,31804,True,0.0193357290349421,0.03630286721644927
0.15,63,0.2,0.25,0.06673052891011942,0.039257476132150526,-0.027473052777968892,9779,32854,True,0.018024155931496446,0.036283507910047426
0.15,63,0.2,0.3,0.0660231012248027,0.038550048446833816,-0.027473052777968892,9825,33189,True,0.01788725603221973,0.03550570895997873
0.15,63,0.3,0.2,0.06912114555901813,0.04164809278104924,-0.027473052777968892,9655,30954,True,0.020814557659262673,0.03551362656347812
0.15,63,0.3,0.25,0.0674397676377993,0.0399667148598304,-0.027473052777968892,9779,32001,True,0.019405617447601598,0.03556866320586748
0.15,63,0.3,0.3,0.06671650642577738,0.039243453647808485,-0.027473052777968892,9825,32334,True,0.01925096180910774,0.034805741756691176
0.15,63,0.4,0.2,0.07133472025748257,0.04386166747951367,-0.027473052777968892,9641,29009,True,0.024177287926381567,0.03350324227284076
0.15,63,0.4,0.25,0.06944878084365828,0.04197572806568939,-0.027473052777968892,9765,30034,True,0.022522170489577383,0.033814791817245324
0.15,63,0.4,0.3,0.06870074911034589,0.041227696332377,-0.027473052777968892,9811,30363,True,0.02237488139535451,0.03306588049906651
0.2,21,0.2,0.2,0.06745055299983686,0.039977500221867975,-0.027473052777968892,5952,36679,True,0.0184865269221536,0.04296401089223957
0.2,21,0.2,0.25,0.0654999247292715,0.03802687195130262,-0.027473052777968892,6033,37915,True,0.016688395984958547,0.04284059212332907
0.2,21,0.2,0.3,0.06474538579774573,0.037272333019776845,-0.027473052777968892,6071,38361,True,0.016532510903810044,0.04203339895853962
0.2,21,0.3,0.2,0.06833480158647774,0.04086174880850885,-0.027473052777968892,5952,35723,True,0.02012851191853471,0.042086146898275764
0.2,21,0.3,0.25,0.06630821043449943,0.03883515765653054,-0.027473052777968892,6033,36952,True,0.01825767062753601,0.04204709064860218
0.2,21,0.3,0.3,0.06548101149847965,0.03800795872051076,-0.027473052777968892,6071,37391,True,0.018130423638592623,0.04132106536534742
0.2,21,0.4,0.2,0.0707188489806453,0.043245796202676406,-0.027473052777968892,5951,33601,True,0.023717098820469316,0.03971439742734603
0.2,21,0.4,0.25,0.0684967744793045,0.04102372170133561,-0.027473052777968892,6032,34796,True,0.021624170180463028,0.03989857250409683
