date,rank,symbol,score,score_6m,mom_6m,vol_6m
2023-08-17,21,RECLTD,1.9218530374514178,1.9218530374514178,1.0094017094017094,0.05
2023-08-17,22,KALYANKJIL,1.7879904025135065,1.7879904025135065,0.9599648042234932,0.05
2023-08-17,23,ZENSARTECH,1.7741135638080825,1.7741135638080825,0.9548399390243907,0.05
2023-08-17,24,DBREALTY,1.7570839620063632,1.7570839620063632,0.948550724637681,0.05
2023-08-24,1,TITAGARH,6.17691286708943,6.17691286708943,2.6966239813736905,0.05
2023-08-24,2,ZENTEC,5.489622762810047,5.489622762810047,2.433970276008493,0.05
2023-08-24,3,JWL,4.709679644800273,4.709679644800273,2.135908440629471,0.05
2023-08-24,4,GVT&D,4.290684451092239,4.290684451092239,1.9757858963466441,0.05
2023-08-24,5,HBLENGINE,4.033312401152836,4.033312401152836,1.877428998505232,0.05
2023-08-24,6,OLECTRA,3.87380375069009,3.87380375069009,1.816471423500177,0.05
2023-08-24,7,FORCEMOT,3.794843602655884,3.794843602655884,1.786296137506334,0.05
2023-08-24,8,JBMA,3.602627305486571,3.602627305486571,1.712839059674503,0.05
2023-08-24,9,NEULANDLAB,3.0446359124016142,3.0446359124016142,1.4995979464340938,0.05
2023-08-24,10,MAZDOCK,2.9132658752841394,2.9132658752841394,1.4493937796520822,0.05
2023-08-24,11,RKFORGE,2.9052156869958212,2.9052156869958212,1.4463173323561747,0.05
2023-08-24,12,SUZLON,2.825178212768483,2.825178212768483,1.4157303370786516,0.05
2023-08-24,13,KIRLOSBROS,2.7898297201366473,2.7898297201366473,1.4022216127262754,0.05
2023-08-24,14,DBREALTY,2.4308722224701254,2.4308722224701254,1.2650429799426934,0.05
2023-08-24,15,JINDALSAW,2.1889823840999187,2.1889823840999187,1.1726027397260275,0.05
2023-08-24,16,KAYNES,2.08766896381357,2.08766896381357,1.1338849623628109,0.05
2023-08-24,17,ENGINERSIN,2.046188325564503,2.046188325564503,1.1180327868852458,0.05
2023-08-24,18,ADANIPOWER,2.0449311193713187,2.0449311193713187,1.1175523349436394,0.05
2023-08-24,19,INOXWIND,2.0408293691586734,2.0408293691586734,1.1159848165331083,0.05
2023-08-24,20,HSCL,2.025661431550494,2.025661431550494,1.1101882613510523,0.05
2023-08-24,21,RECLTD,2.0157522499198626,2.0157522499198626,1.106401384083045,0.05
2023-08-24,22,NEWGEN,1.937303852215706,1.937303852215706,1.0764216677905147,0.05
2023-08-24,23,APARINDS,1.8529718287046586,1.8529718287046586,1.0441934743126735,0.05
2023-08-24,24,ELECON,1.8436341455409444,1.8436341455409444,1.040625,0.05
2023-08-31,1,TITAGARH,5.864198904929273,5.864198904929273,2.779507434944238,0.05
2023-08-31,2,JWL,5.5334864058053395,5.5334864058053395,2.644904458598726,0.05
2023-08-31,3,ZENTEC,4.313919457095821,4.313919457095821,2.1485296872073425,0.05
2023-08-31,4,GVT&D,4.265115500993739,4.265115500993739,2.128666035950804,0.05
2023-08-31,5,SUZLON,3.7588687871525757,3.7588687871525757,1.9226190476190474,0.05
2023-08-31,6,FORCEMOT,3.390781992671749,3.390781992671749,1.7728043952492527,0.05
2023-08-31,7,RKFORGE,3.3277741603182447,3.3277741603182447,1.747159637974196,0.05
2023-08-31,8,JBMA,3.140395910079645,3.140395910079645,1.6708949964763917,0.05
2023-08-31,9,HSCL,3.1159285844663844,3.1159285844663844,1.6609365737996442,0.05
2023-08-31,10,DBREALTY,3.0220406367148356,3.0220406367148356,1.6227233304423243,0.05
2023-08-31,11,OLECTRA,2.971739306528983,2.971739306528983,1.602250234399417,0.05
2023-08-31,12,MAZDOCK,2.9318476902681376,2.9318476902681376,1.586013986013986,0.05
2023-08-31,13,HBLENGINE,2.9100113091999567,2.9100113091999567,1.5771263815473326,0.05
2023-08-31,14,NEULANDLAB,2.5464041165110536,2.5464041165110536,1.429134967596506,0.05
2023-08-31,15,BSE,2.515071360171382,2.515071360171382,1.416382252559727,0.05
2023-08-31,16,KIRLOSBROS,2.374932884984007,2.374932884984007,1.359344626492641,0.05
2023-08-31,17,JINDALSAW,2.0376838433751883,2.0376838433751883,1.2220812182741119,0.05
2023-08-31,18,APARINDS,2.0049285834797783,2.0049285834797783,1.2087495314326033,0.05
2023-08-31,19,ADANIPOWER,1.9566435931059551,1.9566435931059551,1.189097103918228,0.05
2023-08-31,20,IRCON,1.9438943481306161,1.9438943481306161,1.1839080459770113,0.05
2023-08-31,21,KAYNES,1.938457252314287,1.938457252314287,1.1816950988356352,0.05
2023-08-31,22,ELECON,1.895511246451313,1.895511246451313,1.1642156862745097,0.05
2023-08-31,23,ENGINERSIN,1.8216738753685957,1.8216738753685957,1.134163208852006,0.05
2023-08-31,24,ACE,1.7976680333967963,1.7976680333967963,1.1243926141885328,0.05
2023-09-07,1,JWL,5.93362708802677,5.93362708802677,2.8779867819013725,0.05
2023-09-07,2,TITAGARH,5.2936587172165375,5.2936587172165375,2.612711476909008,0.05
2023-09-07,3,GVT&D,4.22102613774788,4.22102613774788,2.1680911680911685,0.05
2023-09-07,4,HSCL,3.961805324260487,3.961805324260487,2.060640732265446,0.05
2023-09-07,5,ZENTEC,3.9410592015853307,3.9410592015853307,2.0520411916145647,0.05
2023-09-07,6,FORCEMOT,3.56685197201022,3.56685197201022,1.8969273743016757,0.05
2023-09-07,7,MAZDOCK,3.461124484404272,3.461124484404272,1.8531019404208804,0.05
2023-09-07,8,SUZLON,3.418163669304774,3.418163669304774,1.835294117647059,0.05
2023-09-07,9,BSE,3.307198652067302,3.307198652067302,1.7892976588628762,0.05
