date,rank,symbol,score,score_base,rv_z,volume_boost,rel_dvol,score_6m,mom_6m,vol_6m
2024-07-11,17,SCI,2.1094990450578637,1.6782683479848894,3.070298438049987,2.0,15.662144727574024,1.6782683479848894,0.9669061214465526,0.05
2024-07-11,18,HINDZINC,1.9304741705080872,2.088779235410675,-2.124993412293885,0.0,0.1299869448510963,2.088779235410675,1.1290220320177524,0.05
2024-07-11,19,KPIL,1.9226008237487309,1.480445681237427,2.1502090577033304,2.0,3.628050565037274,1.480445681237427,0.8887834632328024,0.05
2024-07-11,20,NETWEB,1.9102606621425573,2.050020476225873,0.057879149408445844,0.057879149408445844,0.7583248188256619,2.050020476225873,1.1137157107231923,0.05
2024-07-11,21,WOCKPHARMA,1.8962279966808624,1.5773428123827034,1.5839617185251853,1.5839617185251853,2.375166931674068,1.5773428123827034,0.9270493585562081,0.05
2024-07-11,22,SCHNEIDER,1.8235631015329816,1.9675241849882343,0.026982965534731278,0.026982965534731278,0.7409976035895093,1.9675241849882343,1.081136888133123,0.05
2024-07-11,23,IFCI,1.7475535249319383,1.8951666388991797,-0.11325474029104224,0.0,0.6671941463944271,1.8951666388991797,1.0525619834710747,0.05
2024-07-11,24,KIRLOSENG,1.7458815805738421,1.893396967206987,-0.6062883007205239,0.0,0.46138226143096867,1.893396967206987,1.0518631178707225,0.05
2024-07-18,1,COCHINSHIP,6.020750952046052,6.372918038133622,-0.6689770174534733,0.0,0.5965589582626887,6.372918038133622,2.4787424553956354,0.05
2024-07-18,2,RVNL,4.498659689235736,4.652155650295705,0.4086762634603993,0.4086762634603993,1.2085927989167042,4.652155650295705,1.8838868388683885,0.05
2024-07-18,3,GRSE,4.399463952222048,4.670605372283224,-0.3344173548126668,0.0,0.7427561143401329,4.670605372283224,1.8902647797306549,0.05
2024-07-18,4,TARIL,4.106879410282055,4.363398584323687,-0.8621785750980653,0.0,0.5256315006583061,4.363398584323687,1.7840655249441544,0.05
2024-07-18,5,GVT&D,3.595238571012242,3.6032843146594065,0.7430119873312914,0.7430119873312914,1.5045587421708253,3.6032843146594065,1.5212992966094996,0.05
2024-07-18,6,OFSS,3.5687850186686396,3.4762725724855277,1.073799131983908,1.073799131983908,1.8686527787473222,3.4762725724855277,1.47739221871714,0.05
2024-07-18,7,HUDCO,3.4982910582666107,3.6747164606934706,0.16559624984490875,0.16559624984490875,1.0306613918088405,3.6747164606934706,1.5459928938018157,0.05
2024-07-18,8,KIRLOSBROS,3.491299807138187,3.469445901231764,0.8253626251394377,0.8253626251394377,1.5879635297223786,3.469445901231764,1.4750322858372793,0.05
2024-07-18,9,OIL,3.30404332576385,3.0776755672333636,1.4758809468113552,1.4758809468113552,2.4318325914387633,3.0776755672333636,1.3396,0.05
2024-07-18,10,IREDA,3.250029387551761,3.032992862006371,1.4357788097405655,1.4357788097405655,2.368772438455906,3.032992862006371,1.3241534988713317,0.05
2024-07-18,11,AEGISLOG,3.1372017851847698,3.3452602145137584,-2.138077024480871,0.0,0.13280798980862676,3.3452602145137584,1.4321021557050666,0.05
2024-07-18,12,IFCI,3.08166974732268,2.995888738466057,0.9702138709629422,0.9702138709629422,1.7460445078849167,2.995888738466057,1.3113268608414241,0.05
