label,universe,cadence,regime,bull_uc,bull_cr,bear_uc,bear_cr,passes,IS_cagr,IS_sharpe,IS_dd,OOS_A_cagr,OOS_A_sharpe,OOS_A_dd,OOS_B_cagr,OOS_B_sharpe,OOS_B_dd,OOS_C_cagr,OOS_C_sharpe,OOS_C_dd,OOS_full_cagr,OOS_full_sharpe,OOS_full_dd
Nifty_250__monthly__NIFTY_200__bull0.8_0.2__bear0.2_0.8,Nifty_250,monthly,NIFTY_200,0.8,0.2,0.2,0.8,True,21.16,1.07,-36.23,22.71,1.25,-23.93,50.32,1.63,-40.9,41.2,1.51,-30.14,37.56,1.47,-40.97
Nifty_250__monthly__NIFTY_200__bull0.5_0.5__bear0.0_1.0,Nifty_250,monthly,NIFTY_200,0.5,0.5,0.0,1.0,True,26.42,1.46,-27.66,24.3,1.49,-18.84,46.0,1.62,-38.9,45.52,1.77,-25.06,38.41,1.62,-38.9
Nifty_250__monthly__NIFTY_200__bull0.5_0.5__bear0.3_0.7,Nifty_250,monthly,NIFTY_200,0.5,0.5,0.3,0.7,True,28.14,1.48,-27.66,26.43,1.51,-19.03,55.27,1.84,-39.21,47.02,1.73,-26.69,42.42,1.69,-39.21
Nifty_250__biweekly__NIFTY_50__bull0.7_0.3__bear0.3_0.7,Nifty_250,biweekly,NIFTY_50,0.7,0.3,0.3,0.7,True,25.38,1.28,-28.82,21.35,1.19,-26.94,62.9,1.9,-41.75,40.05,1.47,-31.79,40.31,1.54,-42.69
Nifty_250__biweekly__NIFTY_50__bull0.7_0.3__bear0.0_1.0,Nifty_250,biweekly,NIFTY_50,0.7,0.3,0.0,1.0,True,22.51,1.21,-28.95,25.18,1.41,-23.82,62.54,1.96,-39.81,43.01,1.6,-32.12,42.66,1.66,-39.81
Nifty_250__biweekly__NIFTY_50__bull0.6_0.4__bear0.4_0.6,Nifty_250,biweekly,NIFTY_50,0.6,0.4,0.4,0.6,True,24.1,1.27,-28.76,21.2,1.21,-25.02,64.89,1.99,-41.19,41.76,1.51,-33.87,41.35,1.59,-41.19
Nifty_250__biweekly__NIFTY_50__bull0.8_0.2__bear0.2_0.8,Nifty_250,biweekly,NIFTY_50,0.8,0.2,0.2,0.8,True,20.38,1.07,-29.38,21.79,1.21,-27.48,48.53,1.59,-41.85,43.35,1.56,-33.27,37.61,1.47,-44.91
Nifty_250__biweekly__NIFTY_50__bull0.5_0.5__bear0.0_1.0,Nifty_250,biweekly,NIFTY_50,0.5,0.5,0.0,1.0,True,27.27,1.51,-25.96,27.02,1.59,-23.2,63.66,2.08,-36.59,43.52,1.73,-28.08,43.91,1.8,-36.59
Nifty_250__biweekly__NIFTY_50__bull0.5_0.5__bear0.3_0.7,Nifty_250,biweekly,NIFTY_50,0.5,0.5,0.3,0.7,True,28.68,1.52,-27.21,23.99,1.36,-23.37,56.77,1.85,-39.68,47.16,1.75,-28.46,42.08,1.67,-39.68
Nifty_250__biweekly__NIFTY_100__bull0.7_0.3__bear0.3_0.7,Nifty_250,biweekly,NIFTY_100,0.7,0.3,0.3,0.7,True,25.12,1.27,-28.82,20.05,1.13,-26.19,61.76,1.86,-42.17,40.02,1.45,-30.65,39.5,1.51,-43.17
