symbol,pnl_pct,reason,entry_date,exit_date,hold_days
GODREJPROP,-0.15400363208866852,rank,2019-04-08,2019-05-06,28
ADANIPOWER,-0.21608198117909327,atr_stop,2019-03-11,2019-05-13,63
AUROPHARMA,-0.12907537737744856,rank,2019-03-25,2019-05-20,56
TORNTPHARM,-0.041240653381316106,atr_stop,2018-10-08,2019-05-27,231
GODFRYPHLP,-0.18026583094094029,atr_stop,2019-04-08,2019-06-03,56
ABBOTINDIA,0.026616378932827756,rank,2018-12-03,2019-06-03,182
UBL,-0.0567736574477663,rank,2019-01-28,2019-06-03,126
VBL,0.1801277015252578,rank,2018-10-08,2019-06-17,252
COFORGE,0.18726540733421637,rank,2018-10-08,2019-07-01,266
RELIANCE,-0.02279237676954249,rank,2019-01-28,2019-07-29,182
BAJAJFINSV,0.16140781727683873,rank,2019-01-28,2019-07-29,182
SBIN,0.1109099033514056,rank,2019-05-06,2019-07-29,84
LINDEINDIA,-0.08259811696789232,rank,2019-05-20,2019-07-29,70
ADANIENT,-0.17273655688941314,rank,2019-06-03,2019-07-29,56
PFC,-0.13050724408429593,atr_stop,2019-04-08,2019-08-05,119
UPL,-0.2263670738964243,atr_stop,2019-06-03,2019-08-13,71
ASTRAL,0.06980206531648281,rank,2019-01-01,2019-08-13,224
HAVELLS,-0.07141681181441184,rank,2019-01-28,2019-08-13,197
AXISBANK,-0.10980539515539633,rank,2019-03-11,2019-08-13,155
ADANIGREEN,0.06651685187976475,rank,2019-06-03,2019-08-13,71
BAJFINANCE,0.30500945584785955,rank,2019-01-28,2019-08-26,210
ICICIBANK,0.04325111834209383,rank,2019-04-08,2019-08-26,140
RECLTD,-0.1586729705037444,atr_stop,2019-06-17,2019-09-23,98
TIINDIA,0.013939130304475356,rank,2019-01-01,2019-09-23,265
ADANIENSOL,0.06902061234196921,rank,2019-05-06,2019-09-23,140
WIPRO,-0.07900763821900281,rank,2019-07-29,2019-09-23,56
TCS,-0.08019638831509768,rank,2019-08-13,2019-09-23,41
HCLTECH,-0.03609808627464772,rank,2019-08-13,2019-09-23,41
DRREDDY,0.0850154576744695,rank,2019-08-26,2019-09-23,28
DIVISLAB,0.37524211055316026,rank,2018-04-23,2019-10-07,532
IPCALAB,0.17897705293839827,rank,2018-07-16,2019-10-07,448
INFY,0.0006534763979197944,rank,2019-07-29,2019-10-07,70
VBL,-0.05638549889839717,rank,2019-07-29,2019-10-07,70
INDHOTEL,-0.026109170352702993,rank,2019-09-23,2019-10-07,14
HINDUNILVR,-0.04308102260281366,rank,2019-09-23,2019-10-07,14
PHOENIXLTD,-0.03458611045138804,rank,2019-09-23,2019-10-07,14
HONAUT,-0.01802161770028199,rank,2019-09-23,2019-10-07,14
APOLLOHOSP,0.12818408859279828,rank,2019-08-13,2019-10-22,70
INDIGO,-0.1395334561351521,atr_stop,2019-06-03,2019-10-27,146
UPL,0.0768475329324978,rank,2019-08-26,2019-11-04,70
TITAN,0.05960931778781031,rank,2019-07-29,2019-11-18,112
ASTRAL,-0.1146788712489224,rank,2019-09-23,2019-11-18,56
