old,new,t0,t1,c,pc
NEOCURE,COUNCODOS,2012-08-30,2012-08-31,1.3,1.3
KALECONSUL,ACCELYA,2012-09-05,2012-09-06,160.05,160.05
ROMAN,TARMAT,2012-09-11,2012-09-12,18.25,18.25
MORARJETEX,MORARJEE,2012-08-10,2012-09-18,11.95,11.95
PIRHEALTH,PEL,2012-09-20,2012-09-21,470.9,470.9
ZUARIAGRO,ZUARIGLOB,2012-09-24,2012-09-25,144.35,144.35
WWIL,SITICABLE,2012-10-01,2012-10-03,23.05,23.05
HYDRBADIND,HIL,2012-10-25,2012-10-26,533.15,533.15
BSTRANSCOM,BSLIMITED,2012-11-27,2012-11-29,193.7,193.7
FCH,CAPF,2012-12-05,2012-12-06,221.7,221.7
VAIBHAVGEM,VAIBHAVGBL,2012-12-21,2012-12-24,99.65,99.65
DALMIABEL,DALMIABHA,2013-01-08,2013-01-09,195.4,195.4
BOC,LINDEINDIA,2013-04-09,2013-04-10,284.35,284.35
PANTALOONR,FRL,2013-04-10,2013-04-11,152.45,152.45
PRETAILDVR,FRLDVR,2013-04-10,2013-04-11,125.0,125.0
LLOYDSTEEL,UTTAMVALUE,2013-04-26,2013-04-29,9.7,9.7
BHAGWATIHO,TGBHOTELS,2013-05-30,2013-05-31,44.75,44.75
JINDALSWHL,JSWHL,2013-07-29,2013-07-30,291.35,291.35
ZEENEWS,ZEEMEDIA,2013-07-29,2013-07-30,11.45,11.45
MMFSL,CGCL,2013-08-02,2013-08-13,132.6,132.6
RAINCOM,RAIN,2013-08-22,2013-08-23,35.0,35.0
CINEPRO,CINELINE,2013-08-21,2013-08-23,8.2,8.2
AANJANEYA,DRDATSONS,2013-08-30,2013-09-02,32.75,32.75
NUCENT,PRESSMN,2013-09-10,2013-09-11,12.85,12.85
NAVNETPUBL,NAVNETEDUL,2013-09-18,2013-09-19,53.4,53.4
MADRASCEM,RAMCOCEM,2013-09-27,2013-09-30,180.25,180.25
SESAGOA,SSLT,2013-10-03,2013-10-04,188.15,188.15
FVIL,FCEL,2013-10-15,2013-10-17,5.85,5.85
UNIPHOS,UPL,2013-10-22,2013-10-23,157.8,157.8
HALONIX,PHOENIXLL,2013-10-29,2013-10-30,70.0,70.0
NANDANEXIM,NDL,2013-11-20,2013-11-21,29.2,29.2
VAKRANSOFT,VAKRANGEE,2013-11-26,2013-11-27,83.45,83.45
MAHINDFORG,MAHINDCIE,2013-12-16,2013-12-17,46.35,46.35
DCB,DCBBANK,2014-01-14,2014-01-15,56.55,56.55
FOURSOFT,PALRED,2014-01-15,2014-01-16,16.35,16.35
APPAPER,IPAPPM,2014-01-20,2014-01-21,253.75,253.75
ASTERSILI,SHRIASTER,2014-01-31,2014-02-03,11.2,11.2
INDIAINFO,IIFL,2014-03-12,2014-03-13,72.0,72.0
DCMSRMCONS,DCMSHRIRAM,2014-03-12,2014-03-13,73.5,73.5
CASTROL,CASTROLIND,2014-02-26,2014-03-14,287.7,287.7
HORIZONINF,SKIL,2014-03-22,2014-03-24,126.05,126.05
SHRINATRAJ,DALMIAREF,2014-05-21,2014-05-22,51.55,51.55
INFOTECENT,CYIENT,2014-05-21,2014-05-22,289.35,289.35
MVLIND,NOESISIND,2014-06-03,2014-06-04,1.95,1.95
GULFOILCOR,GULFCORP,2014-06-03,2014-06-26,164.6,164.6
SMOBILITY,SPICEMOBI,2014-08-18,2014-08-19,26.05,26.05
THINKSOFT,SQSBFSI,2014-09-29,2014-09-30,591.9,591.9
PROZONECSC,PROZONINTU,2014-10-01,2014-10-07,18.2,18.2
AXIS-IT&T,AXISCADES,2014-10-07,2014-10-08,130.35,130.35
NATHSEED,TECHIN,2014-10-30,2014-10-31,6.65,6.65
SHARRESLTD,CREST,2014-10-13,2014-10-31,57.95,57.95
DPTL,DPL,2014-11-11,2014-11-12,87.9,87.9
SURANAVEL,SURANASOL,2014-11-18,2014-11-19,92.3,92.3
IBPOW,RTNPOWER,2014-11-19,2014-11-20,11.5,11.5
IBIPL,RTNINFRA,2014-11-19,2014-11-20,3.75,3.75
LANCOIN,SRIPIPES,2014-12-16,2014-12-17,72.05,72.05
A2ZMES,A2ZINFRA,2014-12-30,2014-12-31,17.7,17.7
MUDRA,ELAND,2015-03-12,2015-03-13,13.3,13.3
IBSEC,IBVENTURES,2015-03-31,2015-04-01,35.0,35.0
EXCELINFO,EXCEL,2015-05-04,2015-05-05,17.9,17.9
SAHPETRO,GULFPETRO,2015-05-05,2015-05-06,37.1,37.1
SSLT,VEDL,2015-05-06,2015-05-07,220.15,220.15
LOGIXMICRO,IZMO,2015-05-14,2015-05-15,48.3,48.3
AHMEDFORGE,METALFORGE,2015-05-29,2015-06-01,182.4,182.4
AMTEKINDIA,CASTEXTECH,2015-06-10,2015-06-11,179.15,179.15
WELPROJ,WELENT,2015-06-23,2015-06-24,39.9,39.9
PILIND,PILITA,2015-09-02,2015-09-03,16.9,16.9
SHIV-VANI,SVOGL,2015-10-21,2015-10-23,7.35,7.35
GULFCORP,GOCLCORP,2015-11-09,2015-11-10,144.15,144.15
VIKASGLOB,VIKASECO,2015-12-18,2015-12-21,15.1,15.1
ORCHIDCHEM,ORCHIDPHAR,2015-12-18,2015-12-21,51.25,51.25
PFRL,ABFRL,2016-01-28,2016-01-29,220.35,220.35
WELSYNTEX,AYMSYNTEX,2016-02-02,2016-02-03,126.65,126.65
MAX,MFSL,2016-02-25,2016-02-26,311.85,311.85
BHARTISHIP,BHARATIDIL,2016-02-25,2016-02-26,19.65,19.65
PIPAVAVDOC,RDEL,2016-03-17,2016-03-18,66.7,66.7
KIL,KAMDHENU,2016-03-17,2016-03-18,46.6,46.6
STYABS,INEOSSTYRO,2016-04-01,2016-04-04,573.65,573.65
DYNATECH,DUCON,2016-05-10,2016-05-11,15.55,15.55
ARROWCOAT,ARROWGREEN,2016-05-10,2016-05-11,559.75,559.75
FRL,FEL,2016-05-12,2016-05-13,18.05,18.05
FRLDVR,FELDVR,2016-05-12,2016-05-13,13.1,13.1
SKSMICRO,BHARATFIN,2016-06-30,2016-07-01,741.3,741.3
NEYVELILIG,NLCINDIA,2016-08-03,2016-08-04,74.55,74.55
HCIL,HSCL,2016-08-12,2016-08-16,37.15,37.15
NIRVIKARA,BALKRISHNA,2016-09-02,2016-09-06,69.35,69.35
HITACHIHOM,JCHAC,2016-09-09,2016-09-12,1481.05,1481.05
AIL,GEPIL,2016-09-12,2016-09-14,575.1,575.1
FCEL,FCONSUMER,2016-10-24,2016-10-25,23.05,23.05
MICROSEC,SASTASUNDR,2016-11-21,2016-11-22,44.0,44.0
ARVINFRA,ARVSMART,2016-12-02,2016-12-05,68.5,68.5
MAXWELL,VIPCLOTHNG,2016-12-20,2016-12-21,51.55,51.55
STOREONE,SORILINFRA,2017-01-09,2017-01-10,106.75,106.75
ADI,FAIRCHEM,2017-01-18,2017-01-19,544.75,544.75
FINANTECH,63MOONS,2017-01-18,2017-01-19,78.95,78.95
SUJANATWR,NTL,2017-02-16,2017-02-17,8.55,8.55
VIDHIDYE,VIDHIING,2017-02-28,2017-03-01,53.1,53.1
GEOJITBNPP,GEOJITFSL,2017-03-01,2017-03-02,43.7,43.7
CROMPGREAV,CGPOWER,2017-03-07,2017-03-08,70.95,70.95
HITECHPLAS,HITECHCORP,2017-05-22,2017-05-23,207.2,207.2
FEDDERLOYD,FEDDERELEC,2017-06-12,2017-06-13,70.85,70.85
LLOYDELENG,LEEL,2017-06-16,2017-06-19,211.1,211.1
RAIREKMOH,MOHOTAMILL,2017-07-31,2017-08-01,162.05,162.05
FAGBEARING,SCHAEFFLER,2017-07-31,2017-08-01,4540.05,4540.05
RDEL,RNAVAL,2017-09-15,2017-09-18,57.95,57.95
TUBEINVEST,TIFIN,2017-08-23,2017-09-25,793.2,793.2
NAGAAGRI,NACLIND,2017-09-28,2017-09-29,43.45,43.45
ANANDAMRUB,BALAXI,2017-09-21,2017-10-09,17.25,17.25
MANAKINDST,BKMINDST,2017-11-22,2017-11-23,39.2,39.2
MOHOTAMILL,MOHOTAIND,2017-12-22,2017-12-26,416.75,416.75
FORGE,TIRUPATIFL,2018-01-12,2018-01-15,69.9,69.9
PDUMJEPULP,AMJLAND,2018-01-18,2018-01-19,28.4,28.4
SEINV,PAISALO,2018-01-23,2018-01-24,352.2,352.2
PDUMJEIND,3PLAND,2018-05-03,2018-05-04,14.0,14.0
SORILHOLD,IBULISL,2018-06-07,2018-06-08,558.2,558.2
ESL,ELECTROSL,2018-06-11,2018-06-19,1.1,1.1
FORTUNEFIN,THEINVEST,2018-07-24,2018-07-25,213.3,213.3
GOLDINFRA,OLECTRA,2018-07-25,2018-07-26,162.9,162.9
GREENFIRE,PROSEED,2018-07-16,2018-07-30,0.5,0.5
GARWALLROP,GARFIBRES,2018-08-10,2018-08-13,1185.1,1185.1
MONNETISPA,AIONJSW,2018-08-28,2018-09-14,14.05,14.05
LYCOS,BCG,2018-10-05,2018-10-08,3.45,3.45
AFL,INSPIRISYS,2018-10-11,2018-10-12,55.55,55.55
KSBPUMPS,KSB,2018-10-22,2018-10-23,731.5,731.5
EMAMIINFRA,EMAMIREAL,2018-11-14,2018-11-15,149.75,149.75
BHUSANSTL,TATASTLBSL,2018-12-07,2018-12-10,27.15,27.15
DPL,DVL,2019-01-01,2019-01-02,108.3,108.3
BAJAJCORP,BAJAJCON,2019-01-14,2019-01-15,385.95,385.95
IDFCBANK,IDFCFIRSTB,2019-01-15,2019-01-16,47.05,47.05
KPIT,BSOFT,2019-02-25,2019-02-26,108.0,108.0
RJL,RGL,2019-04-05,2019-04-08,310.0,310.0
TIFIN,CHOLAHLDNG,2019-04-08,2019-04-09,492.15,492.15
SQSBFSI,EXPLEOSOL,2019-04-30,2019-05-02,477.25,477.25
KEYCORPSER,KEYFINSERV,2019-04-30,2019-05-03,40.2,40.2
SKML,BABAFOOD,2019-05-15,2019-05-28,65.0,65.0
MERCK,PGHL,2019-06-10,2019-06-11,3994.3,3994.3
GUJFLUORO,GFLLIMITED,2019-07-24,2019-07-25,903.25,903.25
SPICEMOBI,DIGISPICE,2019-08-27,2019-08-28,7.5,7.5
TATASPONGE,TATASTLLP,2019-08-30,2019-09-03,435.75,435.75
MIL,GBGLOBAL,2019-09-03,2019-09-16,16.95,16.95
HINDUJAVEN,NXTDIGITAL,2019-11-08,2019-11-11,331.6,331.6
AVONMPL,AVROIND,2019-10-10,2019-11-21,43.95,43.95
HOTELEELA,HLVLTD,2020-01-07,2020-01-08,5.85,5.85
IPAPPM,ANDPAPER,2020-01-21,2020-01-22,308.95,308.95
