index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Central India Polyesters Ltd.,2003-04-07,2006-10-05,INE496A01020,CIPL,2005-01-03,2006-10-04,manual-symbol,
nse500,Centurion Bank Ltd.,2001-08-31,2004-01-28,INE484A01018,,,,isin-only,
nse500,Century Plyboards (India) Ltd.,2009-06-23,2013-07-17,INE348B01021,CENTURYPLY,2009-06-23,2013-07-17,norm-exact,
nse500,Cheminor Drugs Ltd.,1998-08-01,2000-12-13,,,,,unresolved,
nse500,Chettinad Cement Corporation Ltd.,1999-02-03,2002-09-19,INE132B01011,CHETTINAD,,,isin-only,
nse500,Chettinad Cement Corporation Ltd.,2009-03-27,2009-10-22,INE132B01011,CHETTINAD,2009-03-27,2009-10-22,norm-exact,
nse500,Chicago Pneumatic India Ltd.,1998-08-01,2001-01-10,INE489A01017,,,,isin-only,
nse500,Ciba Speciality Chemicals (India) Ltd.,1999-12-08,2003-04-07,INE908A01016,,,,isin-only,
nse500,Clariant (India) Ltd.,1998-08-01,2006-04-13,INE221A01014,CLARIANT,2005-01-03,2006-04-12,norm-exact,
nse500,Clariant Chemicals (India) Ltd.,1998-08-01,2016-09-30,INE492A01029,COLORCHEM,2005-01-03,2006-06-02,manual-symbol,
nse500,Clariant Chemicals (India) Ltd.,1998-08-01,2016-09-30,INE492A01029,CLNINDIA,2006-06-05,2016-09-30,manual-symbol,
nse500,Compudyne Winfosystems Ltd.,2002-09-19,2004-11-18,,,,,unresolved,
nse500,Consolidated Finvest & Holdings Ltd.,2005-09-26,2010-04-08,INE025A01027,CONSOFINVT,2005-09-26,2010-04-08,norm-exact,
nse500,Core Healthcare Ltd.,1998-08-01,2000-05-24,,,,,unresolved,
nse500,Corporation Bank,1999-02-03,2018-04-02,INE112A01015,CORPBANK,2005-01-03,2015-01-22,manual-symbol+isin-set,
nse500,Corporation Bank,1999-02-03,2018-04-02,INE112A01023,CORPBANK,2015-01-23,2018-04-02,manual-symbol+isin-set,
nse500,Corporation Bank,2019-01-28,2019-12-27,INE112A01023,CORPBANK,2019-01-28,2019-12-27,manual-symbol,
nse500,Cosmo Films Ltd.,1998-08-01,2011-10-10,INE757A01017,COSMOFILMS,2005-01-03,2011-10-10,manual-symbol,
nse500,Cox & Kings Ltd.,2011-03-25,2018-06-29,INE008I01018,COX&KINGS,2011-03-25,2011-06-21,norm-exact,
nse500,Cox & Kings Ltd.,2019-03-29,2019-12-26,INE008I01026,COX&KINGS,2019-03-29,2019-12-26,norm-exact+symbol-chain,
nse500,Crest Animation Studios Ltd.,2000-05-24,2009-10-22,INE774A01012,CRESTCOMM,2005-01-03,2005-01-03,norm-exact,
nse500,Crest Animation Studios Ltd.,2000-05-24,2009-10-22,INE774A01012,CRESTANI,2005-01-04,2009-10-22,norm-exact,
nse500,D B Realty Ltd.,2010-09-24,2018-09-28,INE879I01012,DBREALTY,2010-09-24,2018-09-28,manual-isin,
nse500,DCL Polyesters Ltd.,1998-08-01,2002-03-29,,,,,unresolved,
nse500,DSQ Software Ltd.,1999-12-08,2005-09-26,INE286A01017,SQRDSFWARE,2005-01-03,2005-09-26,norm-exact,
nse500,Daewoo Motors India Ltd.,1998-08-01,2002-09-19,INE497A01010,,,,isin-only,
nse500,Deccan Chronicle Holdings Ltd.,2006-05-17,2013-01-23,INE137G01027,DCHL,2006-05-17,2013-01-22,norm-exact,
nse500,Dena Bank,2002-09-19,2019-01-28,INE077A01010,DENABANK,2005-01-03,2019-01-28,norm-exact,
nse500,Denso India Ltd.,1998-08-01,2002-10-11,INE502A01017,DENSO,,,isin-only,
