isin,symbol,ex_date,type,factor_or_amount,detail,face_val,series,subject,source
INE715A01015,WHEELS,2007-03-22,dividend,3.5,interim,10,EQ,Interim Dividend-35%     Purpose Revised,nse-filing
INE049B01025,WOCKPHARMA,2007-03-22,dividend,5.0,interim,5,EQ,Interim Dividend-100%,nse-filing
INE067A01029,CGPOWER,2007-03-23,dividend,0.5,interim,2,EQ,3rd Interim Dividend-25% Purpose Revised,nse-filing
INE361B01024,DIVISLAB,2007-03-23,dividend,2.0,interim,2,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE086A01029,ELECTCAST,2007-03-23,dividend,1.25,interim,1,EQ,Interim Dividend-125%    Purpose Revised,nse-filing
INE101A01026,M&M,2007-03-23,dividend,3.75,interim,5,EQ,Interim Dividend-75%     Purpose Revised,nse-filing
INE374B01019,MUKTAARTS,2007-03-23,dividend,2.0,interim,5,EQ,Interim Dividend-40%     Purpose Revised,nse-filing
INE669B01012,OENCONNECT,2007-03-23,dividend,5.0,interim,10,EQ,Interim Dividend-50%,nse-filing
INE831A01028,ONIDA,2007-03-23,dividend,0.75,interim,1,EQ,Interim Dividend-75%     Purpose Revised,nse-filing
INE140A01024,PEL,2007-03-23,dividend,3.0,interim,2,EQ,Interim Dividend-150%    Purpose Revised,nse-filing
INE491H01018,PLETHICO,2007-03-23,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE495B01038,SUVEN,2007-03-23,bonus,0.5,1:1,1,EQ,Fv Spl-Rs2 To Re1/Bon-1:1,nse-filing
INE495B01038,SUVEN,2007-03-23,split,0.5,2->1,1,EQ,Fv Spl-Rs2 To Re1/Bon-1:1,nse-filing
INE483C01032,TANLA,2007-03-23,dividend,1.0,interim,1,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE813H01021,TORNTPOWER,2007-03-23,dividend,0.4,interim,10,EQ,Interim Dividend-4%      Purpose Revised,nse-filing
INE835A01011,VARDMNPOLY,2007-03-23,dividend,0.35,interim,1,EQ,Interim Dividend-35%     Purpose Revised,nse-filing
INE512B01022,FCSSOFT,2007-03-26,dividend,0.1,interim,1,EQ,Interim Dividend-10%     Purpose Revised,nse-filing
INE115A01018,LICHSGFIN,2007-03-26,dividend,1.0,interim,2,EQ,Interim Dividend-50%,nse-filing
INE774D01016,M&MFIN,2007-03-26,dividend,0.4,interim,2,EQ,Interim Dividend-20%     Purpose Revised,nse-filing
INE850A01010,MAHINDUGIN,2007-03-26,dividend,2.0,interim,10,EQ,Interim Dividend-20%     Purpose Revised,nse-filing
INE868B01028,NCC,2007-03-26,dividend,0.8,interim,2,EQ,Interim Dividend-40%     Purpose Revised,nse-filing
INE349A01021,NRBBEARING,2007-03-26,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE035D01012,SOTL,2007-03-26,dividend,1.3,interim,2,EQ,Interim Dividend-65%     Purpose Revised,nse-filing
INE208A01029,ASHOKLEY,2007-03-28,dividend,1.5,interim,1,EQ,Interim Dividend-150%    Purpose Revised,nse-filing
INE365B01017,DATAMATICS,2007-03-28,dividend,1.5,interim,5,EQ,Interim Dividend-30%     Purpose Revised,nse-filing
INE259B01020,GAMMONIND,2007-03-28,dividend,0.4,interim,2,EQ,Interim Dividend-20%     Purpose Revised,nse-filing
INE162A01010,GIPCL,2007-03-28,dividend,1.5,interim,10,EQ,Interim Dividend-15%,nse-filing
INE519A01011,FOSECOIND,2007-03-29,dividend,6.0,final,10,EQ,Agm/Dividend-60%,nse-filing
INE220G01021,JSL,2007-03-29,dividend,1.6,interim,2,EQ,Interim Dividend-80%     Purpose Revised,nse-filing
INE701B01021,PUNJLLOYD,2007-03-29,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE648A01026,SBBJ,2007-03-29,dividend,5.0,interim,10,EQ,Interim Dividend-50%     Purpose Revised,nse-filing
INE513A01014,SCHAEFFLER,2007-03-29,dividend,4.0,final,2,EQ,Dividend-Rs.4/- Per Share,nse-filing
INE524A01029,GABRIEL,2007-03-30,dividend,0.4,interim,1,EQ,2nd Interim Dividend-40% Purpose Revised,nse-filing
INE943D01017,MPSLTD,2007-03-30,dividend,4.5,interim,10,EQ,2nd Interim Dividend-45% Purpose Revised,nse-filing
INE763A01023,POLARIS,2007-04-04,dividend,1.25,interim,5,EQ,2nd Interim Dividend-25% Purpose Revised,nse-filing
INE057A01012,WARTSILA,2007-04-04,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE233B01017,BLUEDART,2007-04-05,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE640A01023,SKFINDIA,2007-04-05,dividend,4.5,final,10,EQ,Final Dividend-45%,nse-filing
INE386A01015,VESUVIUS,2007-04-05,dividend,0.35,final,1,EQ,Agm/Dividend-35%,nse-filing
INE112A01015,CORPBANK,2007-04-09,dividend,0.8,interim,2,EQ,Interim Dividend-40%,nse-filing
INE993A01026,MANINDS,2007-04-13,demerger,,,5,EQ,Scheme Of Demerger,nse-filing
INE093A01033,HEXAWARE,2007-04-18,dividend,0.8,final,2,EQ,Agm/Final Dividend-40%,nse-filing
INE275B01026,HUHTAMAKI,2007-04-19,dividend,9.0,final,2,EQ,Agm/Dividend-Rs9/- Per Sh,nse-filing
INE484C01030,VEEDOL,2007-04-19,dividend,2.0,interim,2,EQ,Interim Dividend-100%,nse-filing
INE436A01026,ANSALAPI,2007-04-23,bonus,0.5,1:1,5,EQ,Bonus 1:1,nse-filing
INE999A01015,KSB,2007-04-24,dividend,0.7,final,2,EQ,Agm/Final Dividend-35%,nse-filing
INE771A01026,MIRZAINT,2007-04-24,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE669B01012,OENCONNECT,2007-04-24,dividend,2.25,final,10,EQ,Agm/Dividend-22.5%       Purpose Revised,nse-filing
INE111B01023,63MOONS,2007-04-26,dividend,3.6,interim,2,EQ,4th Interim Dividend-180%Purpose Revised,nse-filing
INE075D01018,GMBREW,2007-05-03,dividend,1.8,final,10,EQ,Agm/Final Dividend - 18%,nse-filing
INE700C01013,PRITHVI,2007-05-03,dividend,2.0,interim,10,EQ,Interim Dividend - 20%,nse-filing
INE565A01014,IOB,2007-05-07,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE648A01026,SBBJ,2007-05-07,dividend,5.0,final,10,EQ,Dividend - 50%           Purpose Revised,nse-filing
